,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zm00001d036388,130.112216260621,-1.63960759682359,0.188882075101996,-8.68058864737801,3.93725712502919e-18,6.81195960285499e-16
Zm00001d037079,4787.18938110756,-0.904843662452914,0.104684371133745,-8.64354108118856,5.44971144940576e-18,9.3686440776727e-16
Zm00001d016736,7158.47022975276,-2.72376213815569,0.315488295150905,-8.63348079792582,5.95126504457548e-18,1.01661166805755e-15
Zm00001d031997,4991.12920568972,-1.45784712843282,0.169363730563679,-8.60778824120604,7.44836852916783e-18,1.26434884655497e-15
Zm00001d048720,287.163345411269,-5.40320289490612,0.627924886351624,-8.60485547292108,7.64129812578049e-18,1.2889914775926e-15
Zm00001d006834,2708.4718339223,-1.14917069943004,0.133694732798007,-8.59548222566304,8.29158582627132e-18,1.3899993878948e-15
Zm00001d011517,1384.09411145313,-0.847443827295838,0.0986307001539184,-8.59208974460647,8.54016415612215e-18,1.4228335220601e-15
Zm00001d019629,545.385347084189,5.55823326387846,0.647270135571115,8.58719251580205,8.91202331305763e-18,1.47567797067132e-15
Zm00001d027805,384.071765697862,1.20083756393163,0.139877250741478,8.58493827671107,9.08852116539066e-18,1.49572674545057e-15
Zm00001d015705,1225.55931632686,-1.68996416308492,0.196876523931609,-8.58387851093908,9.17268437631182e-18,1.50042879585852e-15
Zm00001d018412,2988.81355563145,-2.18059606608958,0.254215586673736,-8.57774338159757,9.67525045899628e-18,1.57310246920668e-15
Zm00001d033675,563.873963664391,-1.65055609524305,0.192478653815776,-8.57526828311479,9.88560888821411e-18,1.59768014307125e-15
Zm00001d025616,3643.94884453171,-1.93270521128086,0.225405794976724,-8.5743368376152,9.96593589351921e-18,1.60107505813145e-15
Zm00001d011596,4507.57796353632,-1.73372878251471,0.202679254837706,-8.55405149334591,1.18841851666792e-17,1.89795359555428e-15
Zm00001d010672,8883.30253196332,-2.30600612386861,0.269818793873174,-8.54649926629101,1.26878237433659e-17,2.01437860490263e-15
Zm00001d046682,5690.85963743695,-2.32588976913112,0.27294357139966,-8.52150412337579,1.57494406233992e-17,2.48583276272249e-15
Zm00001d018348,664.133405184379,-1.30751922603801,0.153585042508598,-8.51332398442911,1.69016975530488e-17,2.65219079626038e-15
Zm00001d004894,56461.1083225351,-2.14073899537053,0.251683547807187,-8.50567712519108,1.80538756930418e-17,2.81661332344045e-15
