,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zm00001d032810,11833.5712320929,-1.34602590385739,0.157509576165833,-8.54567662883075,1.27785360527572e-17,8.06058167197645e-15
Zm00001d034109,5021.9009503965,-1.00084039046151,0.117634203328472,-8.50807301059236,1.76847827353658e-17,1.09018647025923e-14
Zm00001d037945,561.561087898792,5.68122170891419,0.668654209603707,8.49650182009815,1.95389867519459e-17,1.17772328146618e-14
Zm00001d008628,2387.59037882045,1.60597232669357,0.189448080671119,8.47711056773142,2.30855532169805e-17,1.36124466403778e-14
Zm00001d031653,665.281181002733,-1.06398740812234,0.125715333009209,-8.46346569391343,2.59546784657736e-17,1.49786106107584e-14
Zm00001d043444,5627.76574748218,-2.05487465255785,0.246357496400703,-8.34102750100844,7.36477637540373e-17,4.16171238346773e-14
Zm00001d031136,11819.8997964556,-0.553493177065143,0.0664677467023617,-8.32724448360872,8.27457463573699e-17,4.58039923305572e-14
Zm00001d042062,195.070347036321,-4.42863854434735,0.533830187436859,-8.29596873419821,1.07703861823823e-16,5.84271909621875e-14
Zm00001d028360,5482.38431936307,-2.41378382257787,0.292244399060503,-8.25946991743082,1.46320802816216e-16,7.78197148154321e-14
Zm00001d052779,865.908524331265,-1.09493890996825,0.134270100473364,-8.15474857103769,3.49907046201211e-16,1.82516898483878e-13
Zm00001d045665,4667.84384905154,-0.515518541800182,0.0635284177149429,-8.11477068598426,4.8670299687544e-16,2.49081737495272e-13
Zm00001d009646,365.009043885234,-3.45016511137711,0.425587728648606,-8.10682470176624,5.19597400039386e-16,2.60991849604969e-13
Zm00001d049191,9702.51129353272,-2.20447789096125,0.273673636471,-8.05513428106494,7.93916021051346e-16,3.91530511909031e-13
Zm00001d021442,1158.68024149599,2.34832797360084,0.292521098955651,8.02789262718061,9.91612060500091e-16,4.80294384446508e-13
Zm00001d050336,2484.86197086687,-1.61248383803443,0.200991630904227,-8.02264169299058,1.03494908721148e-15,4.92490509500423e-13
Zm00001d048463,1290.71077515373,-0.797803778287881,0.0995584574081834,-8.01342044721461,1.11561437037466e-15,5.21722830724867e-13
Zm00001d050293,1490.38403793983,-3.19711072878364,0.400425155837316,-7.98429040278017,1.41332941972598e-15,6.49748257299112e-13
Zm00001d028750,12001.7197760021,-1.18782902620685,0.14964694073208,-7.93754299550613,2.06225568347974e-15,9.32277052645073e-13
Zm00001d010171,10665.5167220503,-1.72086125470392,0.217059693548167,-7.92805530392976,2.22604180956262e-15,9.89822262993059e-13
Zm00001d018801,471.623603345387,1.00143954961078,0.126623483694805,7.90879796060979,2.59885987514754e-15,1.13695927828229e-12
Zm00001d026632,13218.9415719778,-1.8603278617569,0.235530432636582,-7.89846068268952,2.82368818815638e-15,1.20159568289054e-12
Zm00001d046234,11139.3410543742,-2.13503356556111,0.270327452573031,-7.89795318691991,2.83520585846463e-15,1.20159568289054e-12
Zm00001d049042,5319.14755504985,-1.57664151178973,0.200254190468866,-7.87320109555889,3.45680344312541e-15,1.44249748602052e-12
Zm00001d051872,23624.2502005164,-1.12620062244514,0.143695426174339,-7.8374145401035,4.59917754069773e-15,1.89012260021038e-12
Zm00001d037242,293.000961163612,2.80443178676795,0.358422571934,7.82437269961993,5.10194500196487e-15,2.06545009303426e-12
Zm00001d002614,490.43746393329,1.65074064797184,0.211046202933877,7.821702665217,5.21135857949537e-15,2.0787189722093e-12
Zm00001d006267,1883.11629850108,-1.29682867626845,0.166605706659708,-7.78381906759784,7.036737399222e-15,2.76615166980431e-12
Zm00001d019497,6001.43980689232,-1.57093512811991,0.202435639251026,-7.7601707581337,8.48151113591451e-15,3.28646440072208e-12
Zm00001d032961,796.50019013522,2.82176819190537,0.364220057620384,7.74742668029123,9.37734455711766e-15,3.58240977136985e-12
Zm00001d044068,280.408171842161,-1.20156527384378,0.156315354621929,-7.6868025969038,1.50857623027159e-14,5.68314189859535e-12
Zm00001d023243,2561.12054296349,-1.53815503582426,0.200600501939755,-7.66775267733978,1.7503597571804e-14,6.50366548681661e-12
Zm00001d008379,2904.77756472288,-0.787890932124269,0.102938319919976,-7.65401002014382,1.94807088401905e-14,7.14046954839631e-12
Zm00001d032688,450.477328199574,-1.85197961183417,0.243222176164063,-7.61435343208561,2.65014715182889e-14,9.50432996296924e-12
Zm00001d002500,1318.71223372184,-1.8101197779597,0.237744294642899,-7.61372541317371,2.66306251727497e-14,9.50432996296924e-12
Zm00001d032386,6714.44286735728,-0.627860419777596,0.0828523578252579,-7.57806339201357,3.5075102209048e-14,1.23555463937431e-11
Zm00001d017833,3783.855092399,-2.02913140977014,0.268058322367388,-7.56973852499572,3.73976196789348e-14,1.30047825150183e-11
Zm00001d002143,3250.51993734964,1.20067227539576,0.159086954730581,7.54727046871401,4.44474924729022e-14,1.52606808333544e-11
Zm00001d012900,2256.68214157067,-1.53001884191902,0.202814548606275,-7.54393041541243,4.56014524825208e-14,1.54611724641987e-11
Zm00001d035558,799.148290254704,-3.10061787381883,0.411789168295784,-7.52962465392408,5.08863863981878e-14,1.69722292872211e-11
Zm00001d038972,10623.660684588,1.38746240543839,0.184293616491549,7.5285429406179,5.13096446524161e-14,1.69722292872211e-11
Zm00001d031289,1102.13990327865,-1.19341403332445,0.159481912950979,-7.48306821282786,7.26071701219888e-14,2.37276732817931e-11
