Gene	HN_B73L2	HN_B73L4	HN_B73R3	HN_B73R4	HN_K55L1	HN_K55L4	HN_K55R3	HN_K55R4	HN_SDL1	HN_SDL2	HN_SDR1	HN_SDR2	HN_W153RL1	HN_W153RL3	HN_W153RR1	HN_W153RR3	LN_B73L1	LN_B73L4	LN_B73R3	LN_B73R4	LN_K55L3	LN_K55L4	LN_K55R1	LN_K55R4	LN_SDL3	LN_SDL4	LN_SDR2	LN_SDR4	LN_W153L2	LN_W153RL1	LN_W153RR3	LN_W153RR4
Zm00001d028503	1.41778572493936	0.707668287906408	1.02726872503377	2.21999856718681	0	0	0.243071292902575	0.869058464542539	0	0	1.16747910370014	0.672276165885865	1.15145516926538	0	0.668288115409016	1.0126719540396	2.46161001286769	1.18863143448986	0.568262647085836	0.476355335967178	0	0	0.930178118924324	1.15327029050487	0	0	0.426254625075809	0.621255406335391	1.41535221926205	0.38503809720949	2.09770703168514	1.4471949754965
Zm00001d028552	2.18707753084816	1.8405722286355	1.22842298957701	1.19461806306017	0	0	0	0	0	0	0	0	0	0	0	0	1.60350333620836	2.3452817541504	1.14671834613734	0.769004129812485	0	0.0599236358699957	0	0	0	0	0	0	0	0	0	0
Zm00001d028556	0.364573472127264	1.36478884096236	1.24739773754101	1.25924288474882	0	0	0	0.159622983283323	0	0.155161452225047	0	0.072029589202057	0.134585669134914	0.143031675829257	1.20291860773623	0.651003399025457	1.99890136383241	2.03765388769691	2.10054228476372	1.68425636645538	0	0	0	0.0741388043895985	0.236023008529903	0	0.0685052076014694	0.199689237750661	0.559919559268502	0.660065309501983	0.943968164258314	0.558203776262936
Zm00001d028667	0.0619797038224857	0.618726371940028	27.094446518195	37.5066296018446	0	0	33.3127214535333	34.3552854367168	0.0782429104339257	0	18.2777466235022	16.3109627132964	0	0	8.15092389941489	6.80648362551206	0.254869026353859	1.38565413128144	28.1336589212988	29.9869588543273	0.0785455708970937	0	44.0690944867425	24.2753943116106	0	0.195578831861725	19.4959082616641	14.7335981611781	0	0	6.25873245519174	7.59184249440787
Zm00001d028740	3.08277511473994	3.19357996593661	0.140481193167012	0.321447756334741	0	0	0	0	0	0	0	0	2.89876825829046	0.136919211050229	1.15151182962784	0.778978426184307	2.63103256436061	3.41350565802217	0.437125113142951	0.439712617815857	0	0	0	0	0.376560925289874	0.183543211439465	0	0	2.81395470811862	4.02809086311467	1.80725528883643	1.18744203117662
Zm00001d028741	1.39597363686337	0.870976354346348	0.280962386334024	0.321447756334741	0	0	0	0	0	0	0	0	0	0	0.0822508449734174	0	1.83374996909982	2.1131225502042	1.39880036205744	0.879425235631714	0	0	0	0	0	0	0	0	0	0	0.0645448317441582	0
Zm00001d022724	0	1.13011665749312	0.156238589358749	0.178751841688045	0	0	0	0	0	0	0	0	0	0	0	0	0.532026978966801	1.44624357048196	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d028972	1.65075521025804	1.86053634379149	2.05775268864355	1.39784499673734	0	0	0	0	0.134445564407591	0.339946843685549	0	0.189373567855173	3.83326944953902	0.0626742867483441	1.80720166420466	1.42629852681634	2.55467310453281	2.97622894394958	2.32107278387172	1.61021522017074	0	0	0	0	0.689477750530755	0.672130070060011	0.420251038807136	0.0583338409704593	2.45348163685728	2.53076683611872	1.94998118438337	2.39160859800361
Zm00001d029137	2.35107905967448	1.80802235314063	1.52962348987354	1.58636275571999	0	0	0	0	0	0	0	0	0	0	0	0	2.79796227324515	3.60345683942829	1.15052640920432	1.59593070512839	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d029301	0.0833991602905507	0.936619792817304	1.71211454172296	1.6131477477828	0	0	0	0	0.210565479550124	0.106483349566209	1.15889469852587	1.68069041471466	0	0	0	0	1.37179505361048	1.04879244219694	2.00563287206766	3.67774340268777	0	0	0	0	1.07984382987537	1.31584287612851	3.00885617700571	1.64449960500545	0	0	0	0
ENSRNA049473656	0.863625822298088	1.29320093221475	0	1.43182947301389	0	0	0	0	0.654142504998353	0	0.800049131977254	1.63803329758992	0	0	0	0.231321004729858	0.236756506714499	0	0.259612376841245	0.652872795488011	0	0	0.212477235287282	0	0	0	0	1.13528906741493	0	0.234540972919486	0	0
Zm00001d029357	0.669655250155861	0.835623070590592	0.657047647008072	1.56127531098009	0	0	0	0	0.0528356184849019	0.374066969693841	1.61551536489872	1.53804879280161	0.139055303903232	0	2.42655168104233	2.1299742206737	0.172107128497256	0.643293765283566	1.44686799442519	0.685529819288559	0	0	0	0	0	0.132069838489652	2.54809037868196	3.53038127585425	0.144628668445738	0	1.11464875484377	2.05063789885851
