	HN_B73L2	HN_B73L4	HN_SDL1	HN_SDL2	LN_B73L1	LN_B73L4	LN_SDL3	LN_SDL4
Zm00001d017539	77	78	70	56	94	119	253	240
Zm00001d017540	45	33	33	28	58	33	57	55
Zm00001d017541	1	1	5	1	0	0	2	2
Zm00001d017543	15	10	0	0	12	9	0	0
Zm00001d017544	113	124	58	37	152	153	95	72
Zm00001d017545	79	105	31	29	31	18	16	22
Zm00001d017547	1005	884	637	635	1078	1127	1350	1181
Zm00001d017548	0	0	2	2	0	0	1	6
Zm00001d017550	186	184	103	130	139	156	217	131
Zm00001d017551	19	44	35	17	65	133	41	57
Zm00001d017553	14	28	18	10	27	25	1	2
Zm00001d017555	179	113	219	147	444	470	559	455
Zm00001d017557	24173	22110	6325	4576	10682	10454	3864	3481
Zm00001d017558	231	208	204	191	263	286	210	185
Zm00001d017559	8	5	22	29	3	10	10	15
Zm00001d017560	1896	1706	1885	1796	2180	3451	2871	2000
Zm00001d017564	278	228	296	281	315	406	556	368
Zm00001d017566	417	399	417	387	639	650	759	656
Zm00001d017567	22	7	37	39	11	15	18	26
Zm00001d017568	702	534	411	493	745	774	561	536
Zm00001d017570	0	2	5	3	2	6	25	12
Zm00001d017573	218	124	60	88	359	312	81	53
Zm00001d017574	134	148	144	132	294	412	243	236
Zm00001d017575	565	443	422	362	554	562	454	386
Zm00001d017583	15	12	53	43	56	23	28	50
Zm00001d017584	1571	1168	1673	1582	1727	1494	1744	1472
Zm00001d017585	0	0	9	4	0	0	9	3
Zm00001d017588	18	18	7	9	16	28	16	13
Zm00001d017590	8	4	9	2	11	8	3	10
Zm00001d017591	305	251	178	148	407	141	432	934
Zm00001d017592	118	198	165	23	147	26	60	423
Zm00001d017593	21	24	8	14	32	38	24	33
Zm00001d017595	589	483	613	528	496	546	872	711
Zm00001d017597	2040	2220	1919	1840	397	271	856	751
Zm00001d017598	52	52	43	20	7	13	25	5
Zm00001d017601	337	278	387	315	654	554	596	607
Zm00001d001721	0	2	0	2	2	6	9	0
Zm00001d017603	7	10	5	3	7	30	16	28
Zm00001d017604	69	83	54	40	335	523	149	159
Zm00001d017606	2	12	71	90	7	88	99	91
Zm00001d017607	36	13	16	25	56	53	44	55
Zm00001d017608	629	446	494	465	676	729	696	548
Zm00001d017609	722	712	739	922	622	634	1449	868
Zm00001d017612	13	38	67	51	74	36	69	63
Zm00001d017613	104	74	192	157	325	1181	322	386
Zm00001d017615	2	35	7	3	20	29	20	24
Zm00001d017616	247	135	148	186	204	312	215	244
Zm00001d017617	48	32	60	28	77	115	90	69
Zm00001d017618	27	23	31	14	78	51	31	35
Zm00001d017619	25	9	29	39	36	39	28	19
Zm00001d017620	136	129	53	53	148	149	139	99
Zm00001d017621	1402	1167	1936	1415	456	418	590	529
Zm00001d017622	4257	4875	2296	3165	624	398	1982	1502
Zm00001d017625	53	28	70	33	87	101	105	96
Zm00001d017629	185	214	13	2	371	386	16	6
Zm00001d017638	59	18	37	36	94	4	2	47
Zm00001d017640	180	171	114	122	248	234	334	264
Zm00001d017641	7	3	2	8	4	6	14	4
Zm00001d017642	12	11	13	2	33	19	42	20
Zm00001d017643	13	11	14	18	29	8	4	3
Zm00001d017644	9	16	29	33	12	4	73	80
Zm00001d017645	64	63	51	32	165	52	4	13
Zm00001d017646	23	12	34	32	80	104	81	51
Zm00001d017647	3	1	0	0	4	8	0	0
Zm00001d017648	0	4	0	2	3	10	3	6
Zm00001d017649	292	200	216	238	344	534	446	466
Zm00001d017650	0	7	13	9	8	60	7	12
Zm00001d017651	33	28	39	50	83	80	65	65
Zm00001d017653	10	16	10	9	90	154	7	16
Zm00001d017654	201	202	145	102	246	333	381	286
Zm00001d017655	1	3	1	7	1	2	0	6
Zm00001d017656	360	210	299	211	424	431	405	321
Zm00001d017657	121	106	139	153	215	192	230	169
Zm00001d017658	8	6	21	17	2	11	40	15
Zm00001d017659	358	276	647	664	418	385	785	595
Zm00001d017660	610	562	470	553	594	791	887	658
Zm00001d017661	0	0	5	5	0	0	2	5
Zm00001d017666	87	146	21	79	418	335	390	170
Zm00001d017670	75	62	44	46	167	140	111	105
Zm00001d017671	31	39	16	29	39	52	30	18
Zm00001d017675	848	695	608	574	1297	1475	1527	1187
Zm00001d017676	1223	811	946	839	859	811	941	902
Zm00001d017677	156	75	95	163	88	75	30	48
Zm00001d017678	93	33	32	32	106	102	29	43
Zm00001d017682	456	323	342	419	1419	2621	1925	1025
Zm00001d017684	160	86	239	205	212	223	237	191
Zm00001d017685	872	860	130	118	447	576	126	78
Zm00001d017686	16	12	20	20	37	59	72	66
Zm00001d017687	0	0	3	2	2	2	12	4
Zm00001d017689	198	173	139	189	220	256	229	231
Zm00001d017691	140	161	107	153	234	360	223	170
Zm00001d017692	40	13	55	28	62	89	94	79
Zm00001d017696	3	2	1	0	4	14	2	1
Zm00001d017697	4	3	1	5	3	4	3	3
Zm00001d017698	13	8	20	14	68	34	40	49
Zm00001d017699	334	467	445	171	284	169	288	665
Zm00001d017700	318	251	404	334	315	226	237	243
Zm00001d017702	3	12	0	2	4	14	2	1
Zm00001d017703	96	85	118	118	157	179	201	142
Zm00001d017704	1234	1050	1175	1007	2367	3177	2379	1780
Zm00001d017706	1711	1466	964	1150	647	618	723	565
Zm00001d017707	43	17	50	18	41	55	67	59
Zm00001d017708	899	626	799	854	1243	1204	1094	922
Zm00001d017709	54	37	45	51	151	174	75	60
Zm00001d017711	80398	60255	57231	55525	29480	20753	23813	23694
Zm00001d017712	0	2	1	0	3	4	6	1
Zm00001d017713	0	0	0	1	10	11	3	5
Zm00001d017714	11	31	99	127	24	41	82	53
Zm00001d017715	3	1	13	15	1	6	11	8
Zm00001d017717	298	262	132	148	363	323	314	247
Zm00001d017719	64	45	91	55	75	65	106	103
Zm00001d017720	8	7	158	134	17	18	415	294
Zm00001d017721	179	184	96	140	215	280	307	241
Zm00001d017724	0	0	22	20	0	0	19	16
Zm00001d017726	170	155	163	189	240	260	392	329
Zm00001d017727	240	185	50	17	511	726	77	76
Zm00001d017728	20	22	79	63	55	73	169	122
Zm00001d017729	482	385	412	525	852	776	707	645
Zm00001d017730	2	4	23	7	26	39	20	26
Zm00001d017742	26	14	3	13	6	5	2	7
Zm00001d017743	1	1	8	7	0	2	13	10
Zm00001d017746	3170	3179	2869	1689	2979	2569	3026	3174
Zm00001d017748	20	32	36	31	62	93	128	149
Zm00001d017751	262	127	245	221	209	208	248	227
Zm00001d017753	161	142	136	130	333	342	459	367
Zm00001d017754	1528	1246	1166	1465	1591	2165	2260	1705
Zm00001d017755	282	144	260	287	219	129	236	258
Zm00001d017756	584	421	386	472	645	690	862	620
Zm00001d017761	785	763	433	495	1241	1620	1291	1142
Zm00001d017762	3635	4472	2887	1273	3900	1616	2277	4313
Zm00001d017765	110	94	56	66	185	176	164	99
Zm00001d017766	1530	1241	456	474	591	841	232	175
Zm00001d017767	1220	899	843	1027	822	730	687	494
Zm00001d017768	506	390	413	329	992	1087	1155	1018
Zm00001d017769	141	91	140	113	162	200	156	154
Zm00001d017770	5091	3375	3148	3185	2524	2084	2537	2340
Zm00001d017771	134	87	95	104	305	285	373	237
Zm00001d017772	361	184	163	142	271	253	219	218
Zm00001d017773	174	126	197	137	231	132	151	168
Zm00001d017777	138	128	165	89	376	712	436	337
Zm00001d017778	285	211	335	361	157	147	273	147
Zm00001d017780	675	655	638	773	872	938	1159	979
Zm00001d017782	1545	1388	2571	1751	1784	1404	2100	1964
Zm00001d017783	123	99	105	115	162	182	206	116
Zm00001d017784	3	9	5	25	13	13	30	10
Zm00001d017785	4	10	5	2	8	27	14	19
Zm00001d017786	66	18	515	670	28	7	808	729
Zm00001d017787	3862	3330	3303	3006	2946	2693	3108	2510
Zm00001d017788	11	0	0	4	5	9	8	10
Zm00001d017790	774	544	780	744	787	822	1000	984
Zm00001d017791	432	351	621	476	607	805	1066	924
Zm00001d017793	467	330	426	398	433	441	396	405
Zm00001d017794	0	0	33	19	0	0	69	60
Zm00001d017798	255	161	186	204	320	294	450	262
Zm00001d017799	4	1	8	0	0	60	11	15
Zm00001d017800	8	0	3	16	6	0	7	6
Zm00001d017801	5	11	15	26	0	14	10	67
Zm00001d017802	884	740	809	841	678	490	750	581
Zm00001d017806	33	22	14	7	58	76	65	51
Zm00001d017808	442	451	382	406	489	600	853	641
Zm00001d017809	329	324	226	237	478	785	825	640
Zm00001d017810	421	361	285	369	643	1107	937	621
Zm00001d017811	139	162	119	116	123	84	143	106
Zm00001d017812	493	358	486	519	265	247	246	210
Zm00001d017813	62	54	44	29	45	28	11	32
Zm00001d017814	66	22	59	92	37	4	3	38
Zm00001d017817	127	129	92	69	104	143	63	81
Zm00001d017818	444	457	380	286	719	896	812	656
Zm00001d017820	33	32	47	27	105	151	88	153
Zm00001d017821	54	92	129	93	452	1132	226	420
Zm00001d017822	11	11	13	13	5	8	6	9
Zm00001d017823	203	132	176	193	264	324	266	259
Zm00001d017825	6	8	0	1	0	34	10	10
Zm00001d017826	5	1	3	1	5	16	9	12
Zm00001d017829	474	412	346	375	549	551	791	593
Zm00001d017830	62	37	0	0	179	85	0	0
Zm00001d017831	83	62	0	2	142	173	0	0
Zm00001d017832	301	218	180	204	342	424	431	317
Zm00001d017833	319	232	111	85	466	528	148	135
Zm00001d017834	1	0	0	1	2	0	3	7
Zm00001d017836	307	262	237	187	469	833	393	336
Zm00001d017837	1342	1242	1231	653	2448	1355	1206	1968
Zm00001d017840	37626	29384	29790	30073	13239	9826	10475	8929
Zm00001d017841	4	2	3	1	0	0	2	0
Zm00001d017844	0	0	2	2	0	1	8	5
Zm00001d017845	123	53	65	94	231	176	185	166
Zm00001d017846	523	324	345	392	499	553	684	557
Zm00001d017847	1288	1009	1387	1218	1597	1249	1164	1270
Zm00001d017848	716	593	497	442	606	651	749	652
Zm00001d017849	34	54	49	25	209	617	350	347
Zm00001d017850	995	625	673	428	759	770	449	523
Zm00001d017851	57	81	13	2	125	108	4	54
Zm00001d017852	401	326	369	316	548	361	239	475
Zm00001d017853	415	324	323	323	311	285	338	239
Zm00001d017857	6241	4540	4729	4458	4702	4020	3444	3832
Zm00001d017859	188	92	100	81	245	167	207	167
Zm00001d017860	589	518	295	311	527	655	609	485
Zm00001d017861	58	62	86	80	21	9	22	39
Zm00001d017862	239	166	158	185	231	239	307	184
Zm00001d017863	257	233	64	102	186	175	79	79
Zm00001d017864	84	80	51	36	98	88	108	149
Zm00001d017865	0	0	16	19	10	1	26	32
Zm00001d017866	1241	980	179	179	2628	2232	244	236
Zm00001d017867	177	168	23	11	409	294	47	43
Zm00001d017868	4	2	12	5	9	6	7	6
Zm00001d017869	2229	1513	1732	1581	3778	2567	2661	2221
Zm00001d017871	0	1	0	3	7	7	0	2
Zm00001d017872	2162	1806	1447	1588	2446	2650	2425	1954
Zm00001d017874	608	586	372	254	1135	588	303	481
Zm00001d017876	252	201	245	229	371	462	482	443
Zm00001d017877	538	429	460	474	731	632	596	515
Zm00001d017880	741	578	21	49	1035	1595	293	214
Zm00001d017881	457	353	391	352	796	834	781	575
Zm00001d017882	737	661	297	268	1662	1443	943	756
Zm00001d017883	884	760	649	745	963	1147	1140	957
Zm00001d017885	1490	1206	774	703	2489	2118	2019	1583
Zm00001d017886	30	19	0	2	51	32	0	3
Zm00001d017887	161	123	122	109	223	288	330	281
Zm00001d017888	116	106	117	137	145	164	240	146
Zm00001d017889	39	100	58	70	71	76	146	95
Zm00001d017890	308	298	307	297	519	656	799	657
Zm00001d017894	41	30	36	47	32	61	66	60
Zm00001d017895	437	363	176	240	411	538	451	399
Zm00001d017896	9	3	0	1	1	0	0	0
Zm00001d017897	57	31	66	43	89	67	94	115
Zm00001d017899	12	2	5	0	15	12	0	0
Zm00001d017900	1301	1198	1209	996	1052	698	855	567
Zm00001d017901	0	0	3	1	0	0	1	4
Zm00001d017902	0	0	3	0	0	1	2	1
Zm00001d017903	3	1	7	5	7	4	10	15
Zm00001d017905	123	138	122	113	359	404	273	233
Zm00001d017906	43	17	37	47	31	28	34	30
Zm00001d017907	1814	1364	1351	1074	1247	1046	1211	1082
Zm00001d017908	188	123	111	126	130	100	136	138
Zm00001d017911	4	6	4	3	0	3	0	0
Zm00001d017912	181	207	126	95	186	416	152	177
Zm00001d017913	933	473	717	673	1272	1557	1840	1525
Zm00001d017914	57	35	95	20	167	170	93	124
Zm00001d017915	147	172	129	73	240	280	202	175
Zm00001d017916	0	0	0	2	0	12	3	2
Zm00001d017918	157	115	30	10	131	173	65	210
Zm00001d017920	9052	7065	6951	6943	8291	9558	11986	9113
Zm00001d017923	16	7	3	2	19	38	12	7
Zm00001d017925	894	557	1037	697	747	840	667	540
Zm00001d017926	0	1	5	9	1	10	7	10
Zm00001d017927	132	72	131	65	175	202	215	165
Zm00001d017930	837	584	850	729	778	740	1070	892
Zm00001d017931	17	6	15	4	39	39	39	39
Zm00001d017932	64	56	63	83	56	82	198	167
Zm00001d017935	921	909	0	0	903	1230	0	0
Zm00001d017937	720	513	785	1070	408	383	868	747
Zm00001d017938	5	6	13	19	6	13	36	23
Zm00001d017939	1773	1281	1145	969	2069	1810	1416	1120
Zm00001d017941	402	245	218	226	179	97	147	88
Zm00001d017945	187	123	22	35	208	177	95	50
Zm00001d017946	486	413	407	530	732	948	892	721
Zm00001d017947	66	26	18	12	33	42	10	15
Zm00001d017949	2	3	0	0	9	4	0	0
Zm00001d017951	740	655	633	634	777	902	449	400
Zm00001d017952	0	0	6	3	0	1	4	1
Zm00001d017953	1186	1018	770	662	1936	2203	1405	1096
Zm00001d017954	41	35	51	58	91	184	190	77
Zm00001d017955	41	26	4	10	40	26	15	7
Zm00001d017956	290	262	207	204	512	547	340	320
Zm00001d017957	353	309	176	184	498	756	726	520
Zm00001d017958	6247	5157	4608	4593	8016	9735	7314	6443
Zm00001d017959	742	585	608	632	439	429	465	395
Zm00001d017960	343	290	233	220	367	374	460	414
Zm00001d017961	117	85	110	110	167	139	237	212
Zm00001d017962	22	12	15	5	67	50	42	22
Zm00001d017964	126	101	32	21	468	628	201	117
Zm00001d017965	5	1	15	0	3	9	20	29
Zm00001d017966	1470	1263	641	777	1857	5762	1742	1320
Zm00001d017967	166	117	156	99	216	264	366	263
Zm00001d017968	17	7	5	2	60	30	26	17
Zm00001d017969	0	6	3	0	7	344	3	31
Zm00001d017975	0	3	0	0	2	120	0	2
Zm00001d017976	2	20	9	3	23	206	18	36
Zm00001d017977	703	486	527	491	804	1326	992	738
Zm00001d017978	149	130	115	76	297	303	318	467
Zm00001d017979	67	51	174	154	184	161	433	415
Zm00001d017980	0	0	11	14	0	0	25	23
Zm00001d017981	2	4	0	0	7	5	1	1
Zm00001d017982	1202	864	1067	1192	912	819	1700	1393
Zm00001d017983	96	105	91	76	192	256	209	354
Zm00001d017984	346	422	251	155	739	617	436	637
Zm00001d017985	2855	2457	1536	1412	2750	2780	1804	1606
Zm00001d017987	175	78	398	348	228	96	172	324
Zm00001d017988	264	237	263	212	380	364	563	424
Zm00001d017989	19	8	15	11	15	19	8	17
Zm00001d017990	0	0	0	1	0	1	2	1
Zm00001d017991	10	20	34	35	30	370	31	90
Zm00001d017992	84	76	55	53	78	209	60	97
Zm00001d017994	86	52	206	254	66	18	153	131
Zm00001d017995	238	180	185	241	353	336	304	216
Zm00001d017997	539	567	150	213	435	503	869	542
Zm00001d017998	16	8	10	11	51	117	91	55
Zm00001d018001	21	17	6	16	36	89	69	70
Zm00001d018002	0	0	2	1	0	0	13	13
Zm00001d018003	1	4	0	0	4	5	0	0
Zm00001d018004	607	449	398	424	936	870	921	792
Zm00001d018005	591	436	555	500	610	703	804	643
Zm00001d018006	101	81	52	56	133	93	142	69
Zm00001d018009	94	72	122	143	176	260	503	304
Zm00001d018010	31	41	0	0	62	84	0	0
Zm00001d018011	87	57	259	303	123	134	508	426
Zm00001d018012	3	3	1	0	2	4	11	2
Zm00001d018013	350	336	0	0	327	563	0	0
Zm00001d018014	19	25	39	38	21	29	81	65
Zm00001d018016	45	28	32	22	92	100	71	87
Zm00001d018017	391	455	549	481	246	270	281	463
Zm00001d018019	24	37	20	20	45	46	91	103
Zm00001d018021	0	0	44	70	0	0	52	79
Zm00001d018024	203	131	189	226	162	133	461	329
Zm00001d018025	1760	1421	1645	1720	1488	1379	2244	1733
Zm00001d018026	8	2	3	2	2	5	2	5
Zm00001d018028	231	100	6	21	522	412	39	40
Zm00001d018030	26952	21783	15397	14795	16915	14246	12761	10581
Zm00001d018031	0	0	1	0	0	3	4	3
Zm00001d018032	32	4	123	33	43	8	37	44
Zm00001d018033	354	243	158	229	369	329	129	135
Zm00001d018034	62488	47848	46482	45121	24642	16971	17811	15494
Zm00001d018035	8	3	4	1	4	4	2	2
Zm00001d018036	2339	1652	1571	1360	2092	2167	1458	1294
Zm00001d018037	3138	2702	2617	2458	2536	2150	1792	1303
Zm00001d018038	39	31	6	1	19	24	3	8
Zm00001d018040	599	489	672	696	547	716	1058	816
Zm00001d018041	460	359	464	419	499	483	588	535
Zm00001d018042	95	85	50	39	82	107	120	82
Zm00001d018043	344	307	307	285	455	515	573	421
Zm00001d018045	12	8	35	33	10	10	30	16
Zm00001d018046	159	177	0	0	191	220	0	2
Zm00001d018047	72	135	97	115	203	358	646	340
Zm00001d018048	2	1	0	1	4	1	2	2
Zm00001d018049	92	79	88	72	264	502	325	229
Zm00001d018050	629	608	412	492	588	628	809	604
Zm00001d018055	0	0	1	4	1	0	3	1
Zm00001d018056	38	31	44	67	125	43	54	63
Zm00001d018057	228	183	188	207	281	230	251	229
Zm00001d018058	16	39	39	22	26	33	38	56
Zm00001d018059	239	266	194	222	323	503	285	192
Zm00001d018060	519	440	445	473	600	640	923	667
Zm00001d018061	2046	1726	1806	1428	939	685	525	355
Zm00001d018064	0	14	0	0	1	163	0	9
ENSRNA049477136	13	9	0	0	12	3	0	0
Zm00001d018065	104	82	215	280	64	53	258	208
Zm00001d018066	368	230	528	559	176	192	493	447
Zm00001d018069	28823	21661	34295	36882	7805	5295	13470	12098
Zm00001d018070	312	241	112	100	262	211	211	138
Zm00001d018072	1074	988	1264	1149	1416	1308	1780	1366
Zm00001d018074	50	30	90	49	29	70	97	108
Zm00001d018076	170	80	54	23	288	262	105	98
Zm00001d018077	18149	13442	10631	11149	6164	3962	4851	4511
Zm00001d018080	123	128	445	503	26	23	72	33
Zm00001d018081	3039	2753	1395	1653	1880	2723	2356	2300
Zm00001d018082	59	59	48	105	11	1	23	22
Zm00001d018084	0	0	2	8	0	0	20	15
Zm00001d018085	59	49	27	49	106	92	60	41
Zm00001d018086	73	67	57	43	140	155	92	75
Zm00001d018087	91	82	80	81	319	237	116	93
Zm00001d018088	93	220	105	18	77	142	14	51
Zm00001d018089	8	5	5	10	84	332	221	89
Zm00001d018090	570	638	893	434	151	239	211	238
Zm00001d018091	2	5	7	2	2	9	5	6
Zm00001d018093	2	13	2	0	2	0	1	0
Zm00001d018096	225	166	223	220	240	155	175	196
Zm00001d018098	82	89	26	29	250	414	230	173
Zm00001d018099	1357	926	651	729	883	849	929	722
Zm00001d018102	67	77	54	58	59	56	66	62
Zm00001d018103	334	385	220	183	490	503	329	383
Zm00001d018104	15	13	6	0	28	16	0	0
Zm00001d018106	816	967	612	304	597	57	117	432
Zm00001d018107	361	591	388	210	602	77	425	1472
Zm00001d018111	944	906	687	494	747	710	580	570
Zm00001d018112	636	605	600	679	646	860	1233	797
Zm00001d018113	389	363	261	310	628	741	780	629
Zm00001d018119	5	0	16	22	5	10	3	6
Zm00001d018122	361	286	157	91	486	386	180	248
Zm00001d018123	8	0	11	8	25	12	18	6
Zm00001d018125	64	66	60	76	135	119	98	90
Zm00001d018126	112	109	94	90	64	98	74	68
Zm00001d018127	162	156	103	102	177	226	143	111
Zm00001d018128	129	121	52	65	198	144	74	77
Zm00001d018130	2467	2042	6771	4766	3113	2595	9589	7599
Zm00001d018131	1156	1061	342	243	1149	1054	535	416
Zm00001d018133	84	32	136	191	165	124	222	166
Zm00001d018134	880	897	939	812	1223	1302	1312	1217
Zm00001d018135	492	344	282	226	633	646	714	556
Zm00001d018139	16	4	4	15	17	14	24	24
Zm00001d018141	47	26	40	32	107	128	128	116
Zm00001d018142	356	183	875	870	243	313	757	473
Zm00001d018144	64	44	128	129	151	203	239	231
Zm00001d018145	13243	11727	14375	10044	11221	13131	21060	15781
Zm00001d018146	1651	1181	1497	1662	1421	1254	1756	1334
Zm00001d018147	529	410	438	345	642	680	798	654
Zm00001d018148	235	158	105	70	281	270	206	147
Zm00001d018149	1258	1170	199	169	1347	1688	615	525
Zm00001d018150	113	62	57	235	50	33	34	22
Zm00001d018151	0	2	1	2	2	8	4	5
Zm00001d018155	320	311	559	541	530	502	1003	927
Zm00001d018156	2	0	10	9	4	0	7	1
Zm00001d018157	15219	10721	9811	10474	5788	3809	3994	3899
Zm00001d018158	40	30	3	7	119	101	45	55
Zm00001d018159	4	6	4	3	32	64	0	0
Zm00001d018161	2180	1664	1573	1673	20	15	156	146
Zm00001d018162	5	4	3	7	6	5	0	3
Zm00001d001741	11	1	1	0	0	6	2	0
Zm00001d018163	2	3	1	1	0	2	1	0
Zm00001d018164	43	31	40	30	10	5	21	16
ENSRNA049477133	5	2	3	1	2	1	0	0
Zm00001d018177	1618	1308	1347	1096	1981	1473	1081	1333
Zm00001d018178	873	612	701	700	660	739	1264	1032
Zm00001d018179	105	123	278	244	144	197	434	329
Zm00001d018180	398	353	632	631	391	469	968	736
Zm00001d018181	242	176	19	9	547	235	21	70
Zm00001d018182	17	6	5	6	19	12	14	15
Zm00001d018183	1330	1010	1626	1292	1105	953	1099	1245
Zm00001d018184	153	86	47	20	561	186	35	147
Zm00001d018185	9	10	32	25	26	27	79	93
Zm00001d018187	1086	809	432	362	893	839	295	313
Zm00001d018189	12	4	224	291	1	1	592	368
Zm00001d018190	16	4	166	198	20	5	249	222
Zm00001d018191	28	63	75	7	25	6	22	42
Zm00001d018192	238	206	230	165	355	246	262	237
Zm00001d018193	6	12	6	10	23	8	17	16
Zm00001d018194	127	92	121	108	195	201	191	128
Zm00001d018195	98	61	8	27	541	516	235	137
Zm00001d018197	37497	25971	35080	34359	15147	10972	14510	12276
Zm00001d018198	83	106	96	87	244	298	133	129
Zm00001d018199	1233	1077	828	940	1275	1388	1611	1057
Zm00001d018200	585	411	422	307	645	733	436	345
Zm00001d018201	21	10	3	7	4	0	0	1
Zm00001d018203	4	4	0	0	3	146	1	6
Zm00001d018204	576	412	512	533	503	857	761	606
Zm00001d018206	4039	2396	1918	1027	865	130	318	1028
Zm00001d018207	843	704	707	745	565	466	716	612
Zm00001d018208	369	276	151	145	450	440	193	177
Zm00001d018209	0	3	1	1	0	0	1	3
Zm00001d018211	1227	775	279	347	1782	1157	920	993
Zm00001d018214	510	274	672	735	437	80	559	856
Zm00001d018217	325	333	319	296	349	325	1028	1107
Zm00001d018218	73	73	46	39	68	101	87	52
Zm00001d018219	107	94	68	70	98	54	98	83
Zm00001d018220	383	496	416	369	1452	2234	595	496
Zm00001d018225	89	76	31	37	174	66	46	85
Zm00001d018226	628	569	422	551	539	692	770	572
Zm00001d018227	9	14	8	8	19	22	12	8
Zm00001d018229	9	3	12	22	12	27	26	33
Zm00001d018230	1653	1173	696	760	1961	1544	872	855
Zm00001d018231	0	0	11	41	0	0	17	23
Zm00001d018233	136	121	98	112	122	254	204	133
Zm00001d018234	744	454	454	440	691	540	323	407
Zm00001d018235	5	0	2	4	3	1	0	1
Zm00001d018238	229	174	89	111	57	35	59	54
Zm00001d018241	21	27	102	115	25	39	201	137
Zm00001d018242	778	669	817	629	1127	1245	985	809
Zm00001d018243	71	81	141	130	143	174	246	219
Zm00001d018244	451	386	236	217	485	370	211	196
Zm00001d018246	656	384	605	840	238	162	414	478
Zm00001d018247	581	390	1064	1165	345	241	875	795
Zm00001d018250	0	0	10	9	0	1	7	4
Zm00001d018252	0	0	52	68	0	1	201	183
Zm00001d018255	24	37	30	43	141	138	220	197
Zm00001d001745	6	4	0	0	1	6	0	1
Zm00001d018256	60	25	4	3	8	13	11	12
Zm00001d018257	723	754	1	0	852	1178	2	2
Zm00001d018258	681	517	481	458	766	751	1055	931
Zm00001d018259	181	181	148	142	218	303	319	236
Zm00001d018261	0	4	5	18	0	2	36	43
Zm00001d018270	89	69	33	40	67	88	109	73
Zm00001d018274	2920	2397	3189	2687	1725	1511	2533	2010
Zm00001d018275	193	179	111	165	218	314	303	245
Zm00001d018276	16	14	18	27	21	20	37	26
Zm00001d018277	88	109	189	107	330	318	424	435
Zm00001d018278	227	206	228	173	390	304	306	309
Zm00001d018280	148	72	183	172	158	75	134	143
Zm00001d018282	784	627	497	468	908	1011	805	672
Zm00001d018284	3	0	8	20	9	7	31	8
Zm00001d018286	392	337	443	564	428	492	1044	676
Zm00001d018287	218	166	216	280	173	261	474	297
Zm00001d018288	7	3	0	3	20	32	23	45
Zm00001d001747	24	28	0	1	42	44	0	0
Zm00001d018289	192	185	203	190	261	267	480	352
Zm00001d018290	786	664	676	627	1005	1038	1239	963
Zm00001d018291	97	108	32	52	110	225	107	58
Zm00001d018292	49	64	37	29	217	402	184	218
Zm00001d018295	370	318	227	273	504	561	616	423
Zm00001d018297	183	191	700	568	344	329	967	852
Zm00001d018298	6	3	8	6	8	20	32	20
Zm00001d018301	0	2	1	0	0	7	3	2
Zm00001d018303	1010	790	1130	1112	1189	1166	1915	1459
Zm00001d018305	1241	1008	445	440	1828	2125	826	874
Zm00001d018306	6	8	21	12	10	21	39	51
Zm00001d018309	1783	1288	1350	1185	2299	2268	2193	1746
Zm00001d018313	0	0	16	29	0	0	113	69
Zm00001d018316	552	446	408	416	513	633	948	649
Zm00001d018318	2910	2742	3183	3235	2060	1877	5299	3643
Zm00001d018322	0	5	5	0	5	7	2	0
Zm00001d018325	337	291	262	196	782	750	692	643
Zm00001d018326	436	586	1044	712	583	516	774	759
Zm00001d018327	0	0	67	44	0	0	69	40
Zm00001d018328	1518	1149	992	1032	1425	1419	1585	1225
Zm00001d018329	7	0	1	0	0	12	5	5
Zm00001d018330	119	66	75	73	139	146	151	97
Zm00001d018331	541	417	622	735	534	669	844	587
Zm00001d018332	81	115	357	273	107	337	1113	807
Zm00001d018333	1281	940	899	951	1679	1751	1855	1717
Zm00001d018334	860	573	858	734	698	527	494	446
Zm00001d018335	1055	464	440	410	1148	1300	702	615
Zm00001d018336	665	657	520	647	697	689	1231	940
Zm00001d018337	81	85	68	44	134	195	131	126
Zm00001d018338	366	333	70	93	331	478	172	90
Zm00001d018339	240	292	217	218	356	471	461	407
Zm00001d018340	7	1	0	1	4	4	3	9
Zm00001d018341	376	312	235	238	337	374	485	350
Zm00001d018342	11069	11928	9690	10289	6957	7076	9475	6695
Zm00001d018343	61	64	7	8	52	75	17	10
Zm00001d018344	45	21	14	20	34	35	36	33
Zm00001d018345	100	94	0	0	124	182	0	0
Zm00001d018348	601	496	923	721	312	231	618	469
Zm00001d018349	230	171	105	150	252	303	340	318
Zm00001d018350	199	168	264	182	112	56	124	190
Zm00001d018355	111	109	93	72	308	442	379	200
Zm00001d018356	71	30	73	109	113	97	172	160
Zm00001d018358	2007	1728	1429	1699	2540	5307	5477	3891
Zm00001d018359	5848	4386	4065	4300	5537	5853	4411	3540
Zm00001d018360	552	411	424	402	527	580	711	536
Zm00001d018361	12	11	0	0	33	32	1	0
Zm00001d018362	24240	17853	15693	24906	8844	5674	10702	10008
Zm00001d018363	5912	5546	2576	2039	6472	6926	4108	3356
Zm00001d018364	1224	903	715	676	1549	1498	1916	1488
Zm00001d018365	102	86	92	119	192	166	239	206
Zm00001d018366	4273	3208	4012	3669	3195	2850	3898	3336
Zm00001d018367	20	15	9	15	0	0	5	16
