	HN_B73L2	HN_B73L4	HN_SDL1	HN_SDL2	LN_B73L1	LN_B73L4	LN_SDL3	LN_SDL4
Zm00001d027651	3	1	0	2	1	2	2	6
Zm00001d027652	11897	9885	3841	5067	5747	4814	1957	2409
Zm00001d027655	18	28	62	54	59	60	167	172
Zm00001d027656	797	770	286	159	2156	6207	1792	1778
Zm00001d027659	1959	1697	1809	1738	1454	1444	4368	2882
Zm00001d027665	474	481	444	723	662	872	1514	1032
Zm00001d022669	137	141	89	82	51	33	13	18
Zm00001d027667	5815	4291	5618	6118	6614	8314	12969	8773
Zm00001d027671	699	455	594	538	601	726	938	775
Zm00001d027672	98	81	69	50	137	193	152	111
Zm00001d027673	11	10	9	13	9	11	12	8
Zm00001d027674	0	0	0	3	2	0	4	6
Zm00001d027675	376	226	238	251	414	333	401	361
Zm00001d027676	129	119	134	110	242	520	469	342
Zm00001d027677	68	37	21	46	42	59	47	56
Zm00001d027680	90	79	57	58	236	347	157	116
Zm00001d027681	0	0	0	2	0	1	16	10
Zm00001d027682	21	11	5	10	74	329	68	21
Zm00001d027683	22	18	51	22	56	64	54	67
Zm00001d027684	82	46	83	61	54	29	54	69
Zm00001d027685	18	25	29	41	61	32	13	49
Zm00001d027688	513	378	443	350	770	889	874	762
Zm00001d027694	4154	3398	4913	4395	3007	2509	5881	4626
Zm00001d027699	611	492	772	643	709	612	853	728
Zm00001d027701	592	570	495	621	817	1005	1086	901
Zm00001d027703	88	59	9	10	54	95	18	32
Zm00001d027706	49	28	50	51	123	110	164	172
Zm00001d027707	614	576	561	553	1163	1394	1147	867
Zm00001d027708	66	93	92	71	96	224	229	320
Zm00001d027709	162	140	131	152	167	269	261	221
Zm00001d027710	21	13	8	5	37	40	17	71
Zm00001d027711	1556	1263	1309	1449	1411	1656	1928	1547
Zm00001d027714	840	595	976	785	736	631	1160	1090
Zm00001d027715	20	16	23	37	23	38	53	43
Zm00001d027719	246	199	265	202	328	331	240	271
Zm00001d027720	0	0	2	0	0	2	8	3
Zm00001d027721	476	382	375	366	406	402	305	335
Zm00001d027722	592	432	351	440	566	501	657	608
Zm00001d027723	3612	2800	2894	2328	2911	2552	3840	3082
Zm00001d027725	20	21	124	73	19	47	84	57
Zm00001d027726	1445	1360	1475	1325	2392	2652	2882	2179
Zm00001d027727	575	566	393	270	1158	1338	697	808
Zm00001d027728	586	452	521	463	649	664	940	762
Zm00001d027729	4138	2686	3046	3489	2082	1816	1253	1399
Zm00001d027731	3277	2600	3013	2474	6160	8954	14060	10812
Zm00001d027732	124	131	102	72	120	198	406	314
Zm00001d027734	2463	1992	872	963	2051	2827	2435	1951
Zm00001d027738	0	0	43	52	0	0	99	65
Zm00001d027739	2	6	1	0	6	8	4	4
Zm00001d027740	0	1	0	1	4	0	3	9
Zm00001d027741	45	42	43	78	50	64	63	55
Zm00001d027742	501	443	668	822	353	453	610	413
Zm00001d027743	842	801	687	809	561	742	748	557
Zm00001d027744	4	1	5	3	2	2	6	2
Zm00001d027745	4	1	3	2	3	4	8	1
Zm00001d027746	1	3	1	3	6	3	0	0
Zm00001d027748	45	46	31	37	52	42	42	56
Zm00001d027749	2236	1240	2328	2584	1345	2347	1454	1262
Zm00001d027751	25	14	36	27	47	55	83	74
Zm00001d027752	323	233	236	237	266	274	325	285
Zm00001d027755	153	97	45	36	309	277	132	120
Zm00001d027756	4840	4469	3544	3042	7975	8526	5494	4830
Zm00001d027757	204	151	107	167	180	208	370	325
Zm00001d027758	44	45	0	0	85	95	0	0
Zm00001d027763	105	34	279	232	277	238	427	351
Zm00001d027766	3	1	3	3	2	0	1	1
Zm00001d027767	64	39	98	122	92	130	148	105
Zm00001d027768	1598	1172	1740	2069	794	793	1807	1427
Zm00001d027769	1545	1137	1609	1204	1076	1101	1329	1239
Zm00001d027773	3	4	9	0	1	4	0	0
Zm00001d027788	13	19	25	23	6	11	27	23
Zm00001d027789	0	0	10	9	0	0	37	34
Zm00001d027790	289	193	207	215	198	201	283	187
Zm00001d027794	33	38	0	0	44	49	0	4
Zm00001d027799	275	231	189	140	506	452	469	351
Zm00001d027800	137	92	83	143	116	148	196	115
Zm00001d027801	40	32	5	3	24	43	3	11
Zm00001d027802	678	560	600	615	1299	1669	1278	997
Zm00001d027803	256	152	103	155	242	227	62	69
Zm00001d027804	2	0	0	0	4	1	1	0
Zm00001d027805	102	88	86	70	225	323	242	231
Zm00001d027807	1200	968	1020	958	1398	1531	1694	1377
Zm00001d027809	52	70	67	73	32	65	59	25
ENSRNA049472005	6	2	0	5	8	11	0	0
Zm00001d027810	342	142	94	110	432	46	143	189
Zm00001d027811	295	213	249	237	297	387	567	435
Zm00001d027812	5	0	3	0	9	5	14	3
Zm00001d027813	214	128	154	82	252	322	196	225
Zm00001d027815	5	0	61	60	0	3	55	80
Zm00001d027816	61	39	30	53	216	156	125	97
Zm00001d027824	35	16	1	3	68	52	17	27
Zm00001d027826	778	728	498	487	810	826	938	723
Zm00001d022677	20	10	7	7	4	11	20	15
Zm00001d027827	125	81	133	109	125	130	123	98
Zm00001d027834	208	191	3	4	177	244	4	5
Zm00001d027835	260	196	127	169	188	255	299	200
Zm00001d027837	31	40	6	11	11	7	7	1
Zm00001d027839	145	79	36	44	168	166	109	157
Zm00001d027841	40460	31651	28732	29100	14493	10368	14920	13693
Zm00001d027842	294	241	133	166	305	333	287	219
Zm00001d027843	0	1	1	0	6	4	15	8
Zm00001d027844	56	55	75	74	41	72	141	99
Zm00001d027845	67	28	54	40	114	195	123	94
Zm00001d027846	4630	3586	2861	2763	3554	4698	4417	2956
Zm00001d027847	457	325	511	473	486	504	423	401
Zm00001d027848	291	232	212	226	380	366	408	344
Zm00001d027850	1524	1074	1820	1883	1068	880	1352	1128
Zm00001d027851	3169	2588	2320	1963	3130	2227	3769	3900
Zm00001d022678	89	126	20	19	86	69	127	144
Zm00001d027852	41	28	83	97	54	56	141	161
Zm00001d027853	1	10	0	2	2	2	0	3
Zm00001d027854	14341	10997	11849	13522	11427	13265	20202	17301
Zm00001d027856	1059	1013	972	684	971	1844	833	848
Zm00001d027859	28	18	39	41	16	17	35	44
Zm00001d027860	4	0	1	0	2	0	2	0
Zm00001d027861	1062	703	854	1095	3222	3357	4243	3343
Zm00001d027863	127	120	89	95	218	310	147	141
Zm00001d027864	0	0	0	1	3	7	8	3
Zm00001d027868	86	43	49	69	74	37	32	41
Zm00001d027869	684	523	441	459	773	812	801	650
Zm00001d027871	736	549	631	514	576	672	622	507
Zm00001d027872	359	320	277	245	346	412	723	522
Zm00001d027873	49	18	32	15	12	18	21	11
Zm00001d027874	75	60	44	36	106	118	185	125
Zm00001d027875	144	114	139	210	291	318	367	278
Zm00001d027876	694	471	1204	1161	611	597	1339	1028
Zm00001d027877	270	108	113	254	74	55	79	52
Zm00001d027879	950	761	1342	872	1072	755	1448	1145
Zm00001d027880	95	82	87	90	149	156	239	156
Zm00001d027881	122	119	99	107	198	200	173	174
Zm00001d027882	3	1	3	1	4	0	7	4
Zm00001d027883	0	2	3	2	11	4	7	3
Zm00001d027884	8075	6909	8267	7267	4428	4303	6319	4602
Zm00001d027885	1216	814	1251	1309	582	458	740	698
Zm00001d027886	177	81	141	150	250	189	189	166
Zm00001d027887	119	54	75	99	237	207	172	173
Zm00001d027888	57	23	27	23	84	123	94	87
Zm00001d027892	41	38	34	19	173	284	74	89
Zm00001d027893	352	326	369	371	646	897	661	523
Zm00001d027894	211	151	164	213	292	339	434	280
Zm00001d027895	2923	2533	1843	2586	1885	2063	3001	2113
Zm00001d027896	1048	790	938	757	1621	1879	1532	1242
Zm00001d027898	19	17	2	6	16	34	29	29
Zm00001d027899	157	203	140	109	201	100	62	103
Zm00001d027900	296	438	295	123	706	1565	387	754
Zm00001d027901	735	1275	839	454	1590	802	925	1977
Zm00001d027903	0	3	2	3	3	7	7	15
Zm00001d027904	4869	3098	2130	2142	5815	2652	1600	1542
Zm00001d027907	175	130	145	173	203	225	210	171
Zm00001d027911	38	41	63	63	47	29	90	69
Zm00001d027916	1052	1098	1033	1200	1011	1292	2830	1534
Zm00001d027918	13	7	395	504	22	35	862	385
Zm00001d027919	0	0	2	3	3	0	13	15
Zm00001d027920	1	1	0	1	4	5	0	0
Zm00001d027921	761	741	316	206	683	904	410	374
Zm00001d027922	106	96	68	75	152	249	155	151
Zm00001d027924	1	1	20	3	1	5	40	18
Zm00001d027925	36	44	9	8	40	130	27	36
Zm00001d027928	36	10	90	51	6	9	0	0
Zm00001d027929	2902	3248	3231	3753	1133	823	5038	4989
Zm00001d027930	1	6	0	0	9	1	0	0
Zm00001d027932	28	246	23	17	54	1	33	102
Zm00001d027934	2851	1844	2183	2609	1799	1215	1916	1504
Zm00001d027935	0	0	1	3	2	0	2	0
