Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	L_HN_m	L_LN_m
Zm00001d015702	936.0945401	-2.634545398	0.300077349	-8.779554355	1.64e-18	3.21e-16	11.48861103	2.563987062
Zm00001d002820	161.5976286	-2.631282915	0.549644909	-4.787241494	1.69e-06	3.17e-05	14.1533193	2.188096748
Zm00001d011454	7458.272523	-2.626428227	0.167052617	-15.72216154	1.07e-55	3.15e-52	457.0834819	155.192592
Zm00001d046234	1511.856808	-2.626182041	0.41331353	-6.35397065	2.1e-10	9.66e-09	69.74761209	18.57083332
Zm00001d009646	30.45010692	-2.62326568	0.584285701	-4.489696861	7.13e-06	0.000112644	1.260867173	0.377426638
Zm00001d023887	657.2404635	-2.610536595	0.277613498	-9.403493038	5.28e-21	1.42e-18	40.82361712	10.73969184
Zm00001d049554	1645.411	-2.60773923	0.572945018	-4.551465061	5.33e-06	8.71e-05	41.96089555	10.32111852
Zm00001d032750	17.46654183	-2.605812166	0.639716569	-4.07338545	4.63e-05	0.000575963	0.545447426	0.163519181
Zm00001d044465	955.0083325	-2.599248553	0.489926054	-5.305389523	1.12e-07	2.8e-06	29.46627477	10.19498314
Zm00001d033136	19633.51926	-2.595107744	0.360396376	-7.200704324	5.99e-13	4.63e-11	956.6581002	299.0495137
Zm00001d038291	1727.674427	-2.589097803	0.420447929	-6.157951143	7.37e-10	3.01e-08	219.9721796	63.91874829
Zm00001d015658	348.2016164	-2.58816336	0.540029056	-4.792637229	1.65e-06	3.09e-05	5.738765154	1.496203711
Zm00001d011080	2676.972038	-2.588122977	0.487961644	-5.303947575	1.13e-07	2.82e-06	614.2050587	353.7241955
Zm00001d015008	280.4907285	-2.58018303	0.483227993	-5.339473427	9.32e-08	2.38e-06	4.512115604	1.255483202
Zm00001d037651	2693.376215	-2.577912532	0.35578047	-7.245795512	4.3e-13	3.38e-11	60.48470815	17.88826922
Zm00001d042738	40.49224646	-2.567867924	0.395229952	-6.497149092	8.19e-11	4.19e-09	1.551027486	0.600250684
Zm00001d015578	189.0226762	-2.565317015	0.55325868	-4.636740653	3.54e-06	6.14e-05	7.701108907	1.859104477
Zm00001d028172	209.5028714	-2.564609906	0.750367914	-3.417803265	0.000631287	0.005188587	6.270568162	4.529858646
Zm00001d006257	181.1505917	-2.561095001	0.765389414	-3.346133293	0.00081947	0.006434644	3.034814335	0.755196444
Zm00001d053015	9345.694388	-2.559477499	0.20952939	-12.21536269	2.57e-34	2.21e-31	343.8248001	114.7030351
Zm00001d033719	2997.982	-2.553988321	0.614910075	-4.153433851	3.28e-05	0.000427324	114.8181684	41.06602654
Zm00001d053939	1003.564377	-2.538802988	0.228099664	-11.13023554	8.94e-29	4.4e-26	74.98208054	18.547764
Zm00001d029098	17.10585675	-2.538556982	0.732519071	-3.465516573	0.000529214	0.004480131	0.743327121	0.419501041
Zm00001d031286	56.70498042	-2.538500764	0.527094118	-4.816029388	1.46e-06	2.8e-05	13.68632841	6.625889609
Zm00001d005945	2356.289135	-2.525374623	0.576127268	-4.383362435	1.17e-05	0.000174204	346.6509708	57.42561738
Zm00001d026051	20.46801994	-2.52532006	0.627946116	-4.021555348	5.78e-05	0.000693199	0.559605415	0.111316836
Zm00001d044399	24862.76183	-2.521251347	0.558822048	-4.511724899	6.43e-06	0.000103024	1377.130819	316.0759153
Zm00001d045965	330.6265032	-2.511982628	0.337796874	-7.436370266	1.03e-13	9.26e-12	10.00311988	2.42323856
Zm00001d026137	567.5666608	-2.501529508	0.584924062	-4.276673966	1.9e-05	0.000265789	32.28217646	11.76415387
Zm00001d043621	257.4256651	-2.494211433	0.778255471	-3.204874911	0.001351212	0.009724626	18.49047266	4.303861823
Zm00001d048829	111.2452075	-2.490912639	0.401609579	-6.202323778	5.56e-10	2.33e-08	3.400026673	1.168957865
Zm00001d004894	65328.47247	-2.486036146	0.237354378	-10.47394264	1.14e-25	4.14e-23	4150.129976	1242.091198
Zm00001d034017	3203.877556	-2.47266733	0.262922185	-9.404559484	5.22e-21	1.42e-18	81.86190704	21.78041732
Zm00001d019861	70.73422561	-2.464812226	0.660699301	-3.730611219	0.000191016	0.001907573	8.024227718	2.060508795
Zm00001d002159	192.8766142	-2.464298709	0.48092848	-5.124044038	2.99e-07	6.73e-06	33.72636175	22.42957497
Zm00001d036340	7288.222582	-2.447993068	0.28137944	-8.699971369	3.32e-18	6.25e-16	266.9015715	69.717093
Zm00001d049732	4485.188918	-2.446739444	0.381375249	-6.415569578	1.4e-10	6.7e-09	587.4772275	155.1149684
Zm00001d048307	113.7390362	-2.439230525	0.636271449	-3.833631903	0.000126265	0.001353007	23.42512386	11.74416496
Zm00001d033749	55.81465644	-2.435003826	0.370131696	-6.578749812	4.74e-11	2.52e-09	1.267858722	0.456878458
Zm00001d003463	63.84016082	-2.430796439	0.452658869	-5.370040453	7.87e-08	2.04e-06	5.245395388	2.327198499
Zm00001d040205	296.4217928	-2.430553976	0.485097125	-5.010448117	5.43e-07	1.15e-05	8.385045932	2.880281088
Zm00001d044526	89.57051704	-2.430024338	0.714748557	-3.399831052	0.000674275	0.005489256	4.714269089	1.567511443
Zm00001d044785	2895.932884	-2.429869587	0.145880144	-16.65661637	2.71e-62	1.44e-58	87.62423409	39.95125112
Zm00001d004448	478.2882724	-2.42844009	0.686981956	-3.534940138	0.000407868	0.003615146	13.7515198	3.735529392
Zm00001d043399	46.7421927	-2.426315965	0.736878825	-3.292693294	0.000992327	0.007550892	4.972669794	1.154457016
Zm00001d013021	16.93093443	-2.425991696	0.619781417	-3.914269822	9.07e-05	0.001020668	0.921184636	0.373173945
Zm00001d040650	370.1736287	-2.4255654	0.670700418	-3.61646621	0.000298652	0.002784626	10.84370122	1.377595537
Zm00001d021310	18166.08535	-2.420517897	0.200376557	-12.07984575	1.35e-33	1.09e-30	757.0509144	223.1053044
Zm00001d032481	168.566593	-2.420319422	0.60795429	-3.981087824	6.86e-05	0.00080031	27.43125594	10.95227138
Zm00001d007937	5037.134143	-2.419608428	0.520657782	-4.647214565	3.36e-06	5.86e-05	85.77665995	33.00394734
Zm00001d038616	91.77069277	-2.417715165	0.472924907	-5.112260172	3.18e-07	7.12e-06	6.727753085	2.216745867
Zm00001d041769	745.7726904	-2.412237151	0.19039608	-12.66957359	8.72e-37	8.91e-34	19.63305032	8.406167248
Zm00001d035978	41.80995415	-2.409045894	0.617413634	-3.901834624	9.55e-05	0.001068676	2.857875436	0.814033144
Zm00001d052164	135.2238381	-2.407535813	0.317523464	-7.582229612	3.4e-14	3.26e-12	2.937518398	1.003236991
Zm00001d021900	39.11177191	-2.404016138	0.606605714	-3.963062138	7.4e-05	0.000855882	0.988618074	0.290660897
Zm00001d020627	44.72570822	-2.402235113	0.597715962	-4.019024527	5.84e-05	0.000698331	1.129084941	0.236256286
Zm00001d022669	146.5067495	-2.397267072	0.676664658	-3.542769734	0.000395948	0.003527153	15.19616355	2.386661138
Zm00001d026156	2423.677914	-2.396438205	0.378783154	-6.326675779	2.5e-10	1.14e-08	58.48763417	22.23526616
Zm00001d031421	3595.482493	-2.390366121	0.44129163	-5.416749287	6.07e-08	1.6e-06	277.0574482	74.38636058
Zm00001d029932	1922.563495	-2.39008187	0.404134136	-5.914080646	3.34e-09	1.18e-07	48.68954747	16.09733965
Zm00001d053936	1050.985565	-2.386963486	0.217739927	-10.96245196	5.79e-28	2.52e-25	37.60604646	9.752677975
Zm00001d031253	10727.86366	-2.38581451	0.255562082	-9.33555751	1e-20	2.52e-18	308.7006678	101.1517045
Zm00001d000224	243.5834499	-2.380148363	0.421219383	-5.65061452	1.6e-08	4.83e-07	5.09947259	1.85654083
Zm00001d048294	15.98431354	-2.373743048	0.699589023	-3.393053593	0.000691181	0.005604559	2.040424184	0.845138653
Zm00001d014820	101.4708795	-2.368262571	0.518379691	-4.568586715	4.91e-06	8.14e-05	3.582156587	1.36272811
Zm00001d007857	38615.4427	-2.365585468	0.512403582	-4.616645062	3.9e-06	6.68e-05	2050.554971	638.5658101
Zm00001d012231	2697.236426	-2.359768468	0.554366899	-4.25669078	2.07e-05	0.00028735	92.94419551	34.64864176
Zm00001d016066	240.7142768	-2.359427216	0.37919064	-6.222271771	4.9e-10	2.09e-08	11.46033946	3.601449454
Zm00001d051241	182.597601	-2.356469073	0.574846666	-4.099300236	4.14e-05	0.000525198	1.914737624	1.102109529
Zm00001d015700	303.3476801	-2.354346277	0.47280878	-4.979489329	6.38e-07	1.33e-05	21.1635867	6.613064083
Zm00001d018206	964.3450169	-2.354030727	0.591367363	-3.980657161	6.87e-05	0.00080141	27.67361409	8.138559991
Zm00001d024372	1761.447346	-2.349662487	0.307812758	-7.633414869	2.29e-14	2.27e-12	150.7565279	47.42508535
Zm00001d033061	1162.043741	-2.348298081	0.519947837	-4.516410907	6.29e-06	0.000100954	39.08272752	8.447491752
GRMZM5G801958	17.04904025	-2.34676317	0.511673658	-4.586445151	4.51e-06	7.57e-05	0.523401059	0.158901016
Zm00001d023929	15559.63201	-2.342479262	0.27498515	-8.518566418	1.62e-17	2.65e-15	170.0791328	43.9332234
Zm00001d021620	44634.97031	-2.336926889	0.154234104	-15.15181678	7.37e-52	1.63e-48	2418.705047	759.3036078
Zm00001d026501	15896.62249	-2.331933217	0.375264063	-6.214112802	5.16e-10	2.17e-08	152.0012482	51.78880277
Zm00001d016943	3197.962952	-2.328494101	0.374396364	-6.219328835	4.99e-10	2.12e-08	198.4110533	77.51455796
Zm00001d017514	111.909327	-2.325539244	0.617948064	-3.76332475	0.000167669	0.001710432	0.710976081	0.243042093
Zm00001d028906	26.24413139	-2.322127856	0.653283063	-3.554550833	0.000378625	0.003402504	2.443884066	0.347703771
Zm00001d035761	5825.569942	-2.32141052	0.209202052	-11.09649975	1.3e-28	6.19e-26	314.3256885	90.66186397
Zm00001d052165	31.24583413	-2.318975239	0.559001348	-4.148425131	3.35e-05	0.000434858	0.774760961	0.250676678
Zm00001d002346	164.6589027	-2.308504128	0.352290665	-6.552839346	5.65e-11	2.96e-09	2.532363261	1.059455611
Zm00001d029529	974.5728935	-2.308215895	0.411174271	-5.61371676	1.98e-08	5.88e-07	34.52360187	18.24434235
Zm00001d024281	3108.121633	-2.305606732	0.379282472	-6.078864449	1.21e-09	4.74e-08	101.6589836	25.52299848
Zm00001d023314	8030.243503	-2.300440654	0.344480977	-6.677990386	2.42e-11	1.36e-09	213.0112256	88.22460179
Zm00001d019450	271.5063493	-2.295832463	0.161468418	-14.2184614	7.04e-46	1.1e-42	5.025406064	2.269326577
Zm00001d034851	226.1094806	-2.290908192	0.581667101	-3.938521174	8.2e-05	0.000936311	9.035707606	2.186500561
Zm00001d025361	28.98579488	-2.289253875	0.714953659	-3.2019612	0.001364954	0.009804931	4.704598511	2.484565955
Zm00001d019479	12696.85429	-2.281511026	0.221576024	-10.29674143	7.29e-25	2.51e-22	172.6580741	87.66831511
Zm00001d001824	417.1630422	-2.281040116	0.388616911	-5.869636781	4.37e-09	1.49e-07	30.23858393	10.20968031
Zm00001d023536	7007.058834	-2.276564654	0.302702798	-7.520791571	5.44e-14	5.06e-12	201.0265019	55.56453694
Zm00001d017597	1205.506265	-2.272610745	0.394723134	-5.757480491	8.54e-09	2.74e-07	24.19644494	7.145830675
Zm00001d017261	387.8294768	-2.270522345	0.214648646	-10.57785542	3.77e-26	1.39e-23	3.646822752	1.097187306
Zm00001d013324	878.877892	-2.26653899	0.409924115	-5.529167241	3.22e-08	9.09e-07	101.7779519	30.83914393
Zm00001d033558	502.6128309	-2.261807586	0.533850305	-4.236782419	2.27e-05	0.000311119	15.9877145	3.561767984
Zm00001d003848	576.9612992	-2.25960329	0.305551582	-7.395161486	1.41e-13	1.23e-11	17.08613155	7.00746549
Zm00001d008726	735.9167573	-2.257550268	0.325528338	-6.93503454	4.06e-12	2.68e-10	16.73430376	6.676039104
Zm00001d034345	663.1716494	-2.255686875	0.24622272	-9.161164651	5.13e-20	1.16e-17	16.15722164	6.045987724
Zm00001d040204	102.1193427	-2.237989757	0.40338474	-5.548027811	2.89e-08	8.26e-07	3.463395064	1.309017356
Zm00001d016160	379.7230487	-2.237367374	0.409533504	-5.463209614	4.68e-08	1.27e-06	6.844275307	5.587248957
