Gene	HN_B73L2	HN_B73L4	HN_B73R3	HN_B73R4	HN_K55L1	HN_K55L4	HN_K55R3	HN_K55R4	HN_SDL1	HN_SDL2	HN_SDR1	HN_SDR2	HN_W153RL1	HN_W153RL3	HN_W153RR1	HN_W153RR3	LN_B73L1	LN_B73L4	LN_B73R3	LN_B73R4	LN_K55L3	LN_K55L4	LN_K55R1	LN_K55R4	LN_SDL3	LN_SDL4	LN_SDR2	LN_SDR4	LN_W153L2	LN_W153RL1	LN_W153RR3	LN_W153RR4	GeneID	Symbol	Synonyms
Zm00001d004293	4.74333733338861	3.20608672546175	8.03517066628548	9.28402111350146	0	0	0	0	0	0	0	0	0	0	0	0	7.58537594019656	8.28474959179768	4.45588329273502	7.09691057166977	0	0	0.0810416560534261	0	0	0	0	0	0	0	0	0	100382262	LOC100382262	GRMZM2G008864|GRMZM2G023254|IDP723
Zm00001d004343	10.4918532500989	13.7539236748111	0.311555805401987	0.277238534581037	0	0	0	0	0	0	0	0	0	0	0	0	2.47547178166272	1.78244646452566	0.129259405824074	0.252825494237003	0.01816407684183	0	0	0	0	0	0	0	0	0	0	0	100217008	LOC100217008	GRMZM2G090028
Zm00001d004620	3.00522102380309	3.99197495742076	16.9455439257708	15.3022525671851	0	0	0	0	0	0	0	0	0	0	0.0685423708111812	0.0324574344243461	6.04605968072766	9.31263944400889	24.5518605215291	26.1690078797354	0	0	0.26832061122817	0	0	0	0	0	0	0.0987277172332026	0	0.0742151269485384	100273841	LOC100273841	GRMZM2G065953
Zm00001d004624	1.75535375468683	1.60067827026449	65.3864696410387	20.1789785728885	0.108950913458535	0	1.4468529339439	4.31573251099356	0	0.0574672045277953	4.55177864835472	3.14795982438619	2.69171338269828	0.264873473757883	4.93260275659036	1.56723040506129	10.8582296306946	8.27010759975751	205.115755471935	145.004832627152	0.313714750428273	0.795414928512443	5.97971647879922	9.94009155149431	0	0.0355068712606107	10.7324825242302	4.31427365510688	7.43967192176204	9.28980805965754	10.1638900225697	4.24969953121988	100193561	LOC100193561	GRMZM2G147491
Zm00001d004633	4.73322311248987	2.72180110733234	0.0263402237188147	0.15067863578191	0	0	0	0	0.0275354857873239	0.222795931400068	0.101031845512512	0.0775703268329844	0.0483128043048409	0	0.0308440668650315	0.0292116909819115	19.4337632594818	12.8006462175831	0	0.0549640772269821	1.40974194842803	3.44353478282156	0.348816794596621	0.638734314741156	5.56368767115788	6.40106949895133	0.344282581792	0.238944387052074	14.798386813231	20.0515993700635	1.74271045709227	0.556613452114038	100193857	LOC100193857	GRMZM2G108597
Zm00001d004733	4.33829364681906	5.54394511263084	8.07928705402907	9.96562110941001	0	0	0	0	3.43114993405178	5.00520813629184	7.82802809162997	7.49727337070872	2.89431546526697	0.369114002140017	8.94335800528932	14.4200752902413	5.65997160368317	9.56747882753745	7.69904231535649	9.74662530734687	0	0	0	0	9.13637452373818	8.82403019973371	8.78045241515607	13.0549523174626	4.75630593357114	6.24577927270694	13.5722611635297	10.4571507906844	100274651	LOC100274651	-
Zm00001d005196	0.662860858413208	1.6542895041968	10.1392757276061	8.5475880661738	0	0	2.17817132601009	3.38594206964625	0	0.0940372437727559	11.0304032200241	6.72276165885865	0.407835361014891	0	9.37339174859399	6.80594462617523	4.94677610241354	18.9357735018298	25.1290170561983	22.1783620706797	0.280009859886393	0	3.53346882838136	4.85272174186463	1.04899114902179	1.85926889510107	10.296540294039	7.74552194911656	1.18770815602409	0.300029686137265	9.39881721988798	5.6384219824539	103647212	LOC103647212	GRMZM2G333095
Zm00001d005583	14.9096176235559	13.011965293763	2.9823930726787	2.78026386023395	0	0	0	0	0	0	0	0	0	0	0	0	24.6996862072123	14.3147011465446	2.19972637581614	2.53543969143821	0	0	0	0	0	0	0	0	0	0	0	0	100383948	LOC100383948	-
Zm00001d005892	0.0859264075720825	1.60833701796911	335.003745330459	305.576273365713	0.277329597894452	0	475.867299332451	409.586125691542	0.108473125828852	0.109710117734882	239.399550298512	235.70409816059	0.380646336947231	0.0505667540810504	269.988398625243	227.333346046049	1.64892536747118	0.600318906308011	428.844572647391	399.218250313402	0.762249063024069	0.91111164538698	274.032587876285	484.478364765726	1.50196459973575	15.9974594515988	252.119923127226	22.5440408814131	0.395902718674698	0.350034633826809	195.325129745773	267.774924860049	103647485	LOC103647485	GRMZM2G138396
Zm00001d005952	1.98947351725362	3.56687645114117	5.57817963593609	5.87646679549449	0.110708186256253	0	0	0	0.0288678480028395	0	0	0	0	0	0	0.0918754797011734	4.67037213816578	4.98458343495749	6.22110115660502	7.05889459548137	0.0869385452066622	0	0.0281303866610178	0	0.0296086211417441	0.036079562732556	0	0	0	0.0310514594523782	0	0	100277811	LOC100277811	-
