Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneID	Symbol	Synonyms
Zm00001d002408	338.946319442918	-1.61949310735364	0.259866675746214	-6.23201533133568	4.6047239822038e-10	3.70706593275875e-08	103645976	LOC103645976	CHL-CPN10|GRMZM2G090872
Zm00001d002416	5867.72960773023	-1.13277474869649	0.290091637974559	-3.90488590641773	9.42698496933348e-05	0.00185491728687786	100194314	LOC100194314	GRMZM2G053909
Zm00001d002441	27.156361462941	-2.17199400583912	0.592916740376646	-3.66323609695921	0.000249048789256766	0.00405320456291453	103645990	LOC103645990	GRMZM2G313020
Zm00001d002465	24.1232782116431	-5.53414412628472	1.45767842695531	-3.79654663466759	0.000146725771038324	0.00265407814824826	103645999	LOC103645999	-
Zm00001d002503	3114.6903211147	1.37530518793907	0.305608991225079	4.50021179817373	6.78857882066163e-06	0.000205017990814344	103646012	LOC103646012	GRMZM2G032218
Zm00001d002674	23.304477482295	5.60822323198944	0.862332718063962	6.50354916902673	7.84467647087613e-11	7.22351140261035e-09	109943971	LOC109943971	-
Zm00001d002690	6855.97692006558	1.19955218381799	0.265142780134065	4.52417442108533	6.06317082562057e-06	0.000186508694709073	542434	LOC542434	GRMZM2G174807|PIP1-1|ZmPIP1-1|inra1(tmp)
Zm00001d002738	4.38656222014542	-5.51883930585842	1.52415777517841	-3.62091077166366	0.000293567755727204	0.00461025218421902	103646110	LOC103646110	GRMZM2G121275
Zm00001d002814	70.8249703421486	-1.61718816711815	0.399669196314425	-4.0463167590376	5.20298176919544e-05	0.0011347091123113	100502247	LOC100502247	GRMZM2G109217
Zm00001d002850	77.7460041758408	2.71177395874389	0.535022181247718	5.068526228987	4.00907743883787e-07	1.75409588500209e-05	100285451	LOC100285451	GRMZM2G136486|pco094531
Zm00001d002860	21.6369537328856	-2.52694073993183	0.668980276627371	-3.77730230354663	0.000158536257720407	0.00282905391626847	100283681	LOC100283681	GRMZM2G078279
Zm00001d002917	256.247566118192	-9.35920776991728	0.983638695068937	-9.51488368324241	1.81916293247489e-21	7.65053044005147e-19	103646173	LOC103646173	GRMZM2G337792
Zm00001d002993	259.40412843584	1.19247322676332	0.348606806601193	3.42068256896518	0.000624641938654349	0.00846632355638122	103646199	LOC103646199	GRMZM2G008892
