Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneID	Symbol	Synonyms
Zm00001d002295	1712.61389434893	-1.54820240911995	0.369584562327836	-4.18903430210548	2.80144056125241e-05	0.00091549727449892	100284455	LOC100284455	GRMZM2G094328
Zm00001d002347	33.0778632769448	2.01048227836706	0.506498616475184	3.96937368231797	7.20617959413577e-05	0.00201298059023006	103645954	LOC103645954	GRMZM2G345700|si707071g02a
Zm00001d002353	201.392141259444	1.0332301644063	0.245711508303444	4.20505401452463	2.61019812442777e-05	0.000858169865781561	103645956	LOC103645956	GRMZM2G098239|glossy2
Zm00001d002370	2883.20727097659	2.84793534081523	0.535125087928674	5.32199929522801	1.02632970025337e-07	6.95954169741813e-06	103645962	LOC103645962	GRMZM2G070468
Zm00001d002394	182.742376961558	-1.03021777641818	0.293690295772282	-3.50783730769564	0.000451765236884622	0.00916505630909386	100191810	LOC100191810	GRMZM2G401339
Zm00001d002500	1318.71223372184	-1.8101197779597	0.237744294642899	-7.61372541317371	2.66306251727497e-14	9.50432996296924e-12	100276055	LOC100276055	GRMZM2G031904|IDP225|umc1422
Zm00001d002519	80.8500685040612	1.19306846219226	0.290714839963108	4.10391317603071	4.06219967028574e-05	0.00124641520200034	100303800	LOC100303800	GRMZM2G024312
Zm00001d002530	282.93779808732	2.22835125336581	0.397515361401531	5.6056984703918	2.07416788692332e-08	1.6743967191937e-06	100276205	LOC100276205	GRMZM2G014009
Zm00001d002549	563.724828037896	-1.81397724502003	0.3166322436011	-5.72897195936028	1.01041093345255e-08	8.95633534606768e-07	100501780	LOC100501780	GRMZM2G076844
Zm00001d002568	175.811117912085	1.56496687220999	0.259550124357027	6.0295362064912	1.64430876686068e-09	1.70882111081721e-07	100282290	LOC100282290	GRMZM2G045398
Zm00001d002614	490.43746393329	1.65074064797184	0.211046202933877	7.821702665217	5.21135857949537e-15	2.0787189722093e-12	100193704	LOC100193704	GRMZM2G086430|cl35113_1
Zm00001d002687	693.740300371516	1.40422753648552	0.34036961654932	4.12559602329264	3.69775856571414e-05	0.00115817555815739	100192011	LOC100192011	GRMZM2G020500
Zm00001d002736	496.777456067329	1.87879345465232	0.286780091095767	6.55133850984417	5.7023631760645e-11	9.26173046632177e-09	100502521	LOC100502521	CCD7|GRMZM2G158657
Zm00001d002773	535.827004037751	1.03271437780856	0.262302156819654	3.93711737002072	8.24662776177554e-05	0.00226169394752679	100273368	LOC100273368	GRMZM5G881965
Zm00001d002798	262.290475085569	1.85704180428352	0.335750431342986	5.53101837235307	3.18376973521576e-08	2.46030114809095e-06	100276169	LOC100276169	GRMZM2G351318
Zm00001d002816	222.11776795189	-2.32500632301061	0.425398249196594	-5.46548164549716	4.61651560933677e-08	3.45907097755941e-06	103646142	LOC103646142	GRMZM2G109262
Zm00001d002820	1811.40552102732	-1.70617781641736	0.304878622020125	-5.59625271562901	2.19034361098151e-08	1.75771834627996e-06	100383083	LOC100383083	-
Zm00001d002928	81.1712337176874	1.13331168521702	0.314610499487321	3.60226911391651	0.000315451543682243	0.00688359426455122	100276810	LOC100276810	GRMZM5G817182
