taxa	Nitrate_Blup	ChlorophyllA_Blup	ChlorophyllB_Blup	Glutamate_Blup	Malate_Blup	Fumarate_Blup	Fum2_Blup	AminoAcids_Blup	Protein_Blup	Starch_Blup	Sucrose_Blup	Glucose_Blup	Fructose_Blup	PrinicpalComponent1	PrincipalComponent2	DaysToAnthesis
Z012E0189	0.11733	40.1502	27.92389	0.0858	0.21563	-0.00673	0.08131	1.55034	1.01756	0.63661	2.10084	0.6896	0.66405	4.656	0.06023	83.4235
Z012E0190	0.0482	44.7779	26.93029	0.00979	0.16458	-0.06531	0.02266	1.2844	0.99479	0.77517	1.94864	0.84481	0.75694	-1.3426	-0.42535	77.2745
Z012E0191	0.04662	52.9103	28.12359	0.0066	0.22501	-0.05799	0.02992	1.1756	1.04995	0.91431	2.84204	0.81202	0.73774	-0.7944	0.50626	83.3632
Z012E0192	0.04472	38.5822	28.65329	0.03585	0.2009	-0.03269	0.05522	1.55908	0.9747	0.6888	1.63164	1.5697	1.00589	-1.9675	0.97939	81.9853
Z012E0193	0.049929131	44.7354	29.00039	0.0759	0.29857	-0.01193	0.08239	1.3087	1.00699	0.91401	2.21265	1.299	0.90109	1.0381	2.00676	79.828
Z012E0194	0.04893	43.2044	28.58889	0.04398	0.233373	-0.04126	0.05168	1.60228	1.01085	0.56581	2.26611	0.6107	0.50739	0.2338	-1.04238	77.9568
Z012E0195	0.04931	45.685	29.34629	0.04986	0.32049	-0.019947	0.068145	2.0188	1.08584	0.71169	2.61934	0.3455	0.63293	2.3015	-0.00421	78.5725
Z012E0196	0.04424	38.1933	28.48099	-0.01544	0.12361	-0.07995	0.00799	1.219	1.00035	0.44211	2.26768	0.86038	0.72136	-1.4111	-0.56163	82.4419
Z012E0197	0.0501	48.1273	27.95499	0.11462	0.30529	0.07984	0.17273	1.51132	1.10915	1.23021	2.29023	0.636	0.69925	1.2439	0.6473	77.5573
Z012E0198	0.04941	45.0465	28.46829	0.03948	0.235154	-0.025037	0.062752	1.6971	1.038675	0.91491	2.28171	0.81197	0.64597	-0.6013	-0.59258	80.0527
Z012E0199	0.0555	46.3045	29.16869	0.08859	0.24758	0.00391	0.08924	1.587202	0.95263	0.78911	3.35904	0.9804	0.79285	1.0427	1.96487	80.753
Z012E0200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87.5601
Z013E0001	0.04514	61.0314	27.2889	0.08464	0.29197	-0.0143	0.07856	1.81703	1.170901	0.61864	2.56734	1.175093	0.9186	0.0586	-0.21342	77.0732
Z013E0002	0.046528	56.3624	28.12201	0.04302	0.23922	-0.04354	0.04577	1.9717	1.050991	0.69124	2.55077	0.815293	0.69465	-0.8401	-1.68871	74.2442
Z013E0003	0.048545	66.2027	29.2553	0.07009	0.28488	-0.04605	0.04205	2.8265	0.982521	0.73446	2.2972	0.723233	0.79414	0.1703	-1.86853	79.0105
Z013E0004	0.04192	50.0974	26.7851	0.02601	0.274203	-0.04814	0.03906	1.4845	1.125031	0.72406	2.7128	0.714143	0.67018	-1.0466	-1.15393	76.5865
Z013E0005	0.047625	58.2773	27.1915	0.02088	0.21646	-0.04826	0.04123	1.709	1.118761	1.16904	3.4876	0.646393	0.67309	-0.5614	0.02299	80.7467
Z013E0006	0.03745	47.9043	27.2177	0.03157	0.21745	-0.03916	0.04284	1.7111	1.035911	0.76711	2.3678	0.820973	0.6232	-2.1322	-1.42412	77.5685
Z013E0007	0.03982	34.0948	27.8064	0.02464	0.20512	-0.028565	0.064061	1.5185	0.944401	0.69934	1.8693	0.639793	0.5864	-2.9457	-1.22129	77.3779
Z013E0009	0.0446	55.2922	27.2986	0.00166	0.24083	-0.03582	0.04959	1.276	1.023441	0.90827	2.3183	0.629893	0.67001	-1.5041	-1.26849	75.7799
Z013E0010	0.04254	52.0409	28.0682	0.01764	0.30644	-0.04494	0.04317	1.80897	0.979191	0.71344	2.7114	0.966093	0.81476	-1.9879	-0.89587	78.2185
Z013E0011	0.04332	47.9674	27.5816	0.064716	0.2557	-0.024158	0.061258	1.2266	1.037241	1.04374	2.7699	0.830023	0.74713	-0.8905	0.66346	79.5793
Z013E0012	0.04472	46.3957	27.4422	0.03982	0.21733	-0.04548	0.03851	1.7165	1.097191	0.56464	2.1494	0.686663	0.6027	-0.4161	-1.51323	80.8746
Z013E0013	0.04112	39.8457	28.12784	0.03766	0.27903	-0.04098	0.04704	1.833211	0.981111	0.48574	1.9464	0.764143	0.565	-1.1271	-1.74438	80.2685
Z013E0014	0.046998	49.1978	28.1708	0.061729	0.38136	-0.04346	0.04947	1.7212	1.098801	0.92754	2.7021	0.787613	0.5871	-0.6464	-1.15404	78.2845
Z013E0015	0.04938	50.5274	28.06695	0.07239	0.28614	-0.01219	0.07611	1.5917	0.990981	0.75939	2.44646	0.634493	0.67716	0.4618	-1.21098	77.9432
Z013E0016	0.04509	59.5381	27.7482	0.06536	0.25991	-0.04224	0.04586	1.4771	0.954001	0.90259	2.50797	1.520293	0.9765	-1.0218	1.07794	79.4076
Z013E0017	0.04195	47.1039	27.95253	0.0401	0.25357	-0.030015	0.064375	0.994	1.045561	0.7914	2.2929	0.604893	0.66254	-0.5653	-0.55008	78.6782
Z013E0018	0.04002	40.5636	28.4079	-0.0631	0.15726	-0.08846	-0.00235	1.9959	1.014651	0.73469	2.49566	0.890893	0.75461	-2.8635	-0.92983	82.7682
Z013E0019	0.049236	60.8365	29.4113	0.1102	0.38816	0.01744	0.10055	2.749	1.052091	0.73018	2.16	1.156693	0.8712	1.4724	-0.34059	79.0859
Z013E0020	0.04446	45.4537	27.3229	0.04699	0.24034	-0.00145	0.08132	2.1525	1.069041	0.67254	2.51209	0.667093	0.73891	-0.7963	-1.14983	77.4352
Z013E0021	0.047269	62.3187	27.3242	0.0324	0.32995	-0.03678	0.0573	1.88062	1.160201	0.76955	2.2736	0.610893	0.6274	0.2718	-2.06135	77.177
Z013E0022	0.04344	46.6736	28.7775	0.08996	0.24031	-0.028356	0.058584	2.8318	1.113071	0.97324	2.58978	1.032593	0.82683	0.2128	0.50118	77.0709
Z013E0023	0.04241	47.0052	28.3315	0.057927	0.35822	-0.0162	0.07367	1.4013	1.041681	0.8922	2.7392	0.993993	0.8882	-0.4924	1.01831	76.8119
Z013E0024	0.047462	39.9431	27.7661	0.06765	0.26315	-0.01938	0.06877	2.3144	0.855901	0.50184	2.3652	0.371393	0.4337	-0.8712	-2.26605	78.0183
Z013E0025	0.03984	46.241	25.0262	0.01919	0.18421	-0.06494	0.02318	1.5149	1.025511	0.64504	2.3597	0.903293	0.75101	-2.591	-0.88831	78.4677
Z013E0026	0.045648	56.4515	26.2707	0.07362	0.45216	-0.05165	0.03506	2.2059	1.053391	0.77818	2.706	0.783763	0.72548	1.5344	-0.47648	78.7067
Z013E0027	0.04449	51.8815	27.8847	0.03827	0.31211	-0.03997	0.04305	1.6633	0.981081	0.71394	2.2981	0.162593	0.5397	-0.7412	-2.93451	78.4909
Z013E0028	0.05132	68.1166	29.4567	0.057702	0.27451	-0.0319	0.05628	2.3	1.094841	0.52904	2.7278	0.657693	0.947	1.2804	-0.89745	76.8846
Z013E0029	0.048691	54.2319	28.3955	0.04664	0.23447	-0.05277	0.03539	1.92447	1.015361	0.73035	2.917	0.678773	0.66497	-1.0071	-1.42231	76.6768
Z013E0030	0.03982	38.3962	25.6482	0.03768	0.22242	-0.03955	0.0486	1.3838	0.995201	0.80651	2.3388	0.891293	0.72174	-1.8234	-0.23003	78.4984
Z013E0031	0.04393	44.9907	28.8087	0.057199	0.31566	-0.01844	0.0692	1.503	1.011971	0.90228	2.4166	0.924493	0.8438	-0.1714	0.54849	75.4401
Z013E0032	0.050932	57.2844	28.902	0.0933	0.38966	0.05713	0.14519	2.3964	1.089971	0.39804	2.8168	0.598793	0.64238	2.884	-0.76318	73.4745
Z013E0033	0.047879	57.981	29.0924	0.07187	0.270357	-0.02012	0.06811	1.386	1.038911	0.80133	2.3985	0.929193	0.8614	-0.1313	-0.43979	76.5326
Z013E0034	0.048457	63.9595	27.5809	0.103	0.24831	-0.021276	0.066343	1.89043	0.992491	0.75939	3.1204	0.705773	0.67935	0.3508	-0.75044	73.1832
Z013E0035	0.03865	39.657	27.5604	0.03261	0.273507	-0.0357	0.058677	2.0866	1.046301	0.79981	2.9317	0.660793	0.5938	-0.2627	-0.17864	82.1908
Z013E0036	0.04152	40.5774	27.2053	0.05476	0.21085	-0.028245	0.06832	1.3645	0.995351	0.70594	0.9216	1.316393	0.983	-3.1393	0.13268	79.914
Z013E0037	0.04556	46.1813	27.5955	0.05116	0.59446	-0.01372	0.07689	1.6172	1.153301	1.10364	3.1382	0.630093	0.70799	1.4077	0.80981	78.5818
Z013E0038	0.046082	55.9392	28.9395	0.01001	0.28995	-0.0511	0.03259	1.5029	1.003471	0.67014	2.2608	0.808183	0.7555	-0.7407	-1.30425	73.9366
Z013E0039	0.04331	47.2071	28.05295	0.0369	0.27837	-0.03257	0.05607	1.0377	1.025701	0.81213	2.4074	0.685683	0.64249	-1.4977	-1.23332	78.823
Z013E0040	0.04406	45.6631	28.5334	0.04561	0.30614	-0.03006	0.05809	1.5474	1.167801	0.72706	2.57122	0.744313	0.78676	-0.3132	-0.89373	75.9771
Z013E0042	0.1002	50.9827	28.08671	0.12576	0.29212	0.01117	0.09937	1.6365	0.930501	0.63214	2.1131	0.635493	0.5878	3.057	-1.51731	74.5461
Z013E0043	0.049601	62.8463	28.5133	0.063207	0.22074	-0.03537	0.061279	1.9541	1.139331	0.85426	2.7877	0.444593	0.7442	-0.0848	-1.80497	79.8907
Z013E0044	0.04094	42.6454	26.6761	0.00555	0.21864	-0.03741	0.04573	0.8883	1.041181	0.85947	2.6069	0.471093	0.567	-2.1614	-1.12536	78.6452
Z013E0045	0.046488	57.4008	27.461	0.0242	0.20689	-0.03612	0.05031	1.751	1.059466	0.64514	2.1099	1.088993	0.8553	-1.1153	-1.02053	79.0247
Z013E0046	0.04359	36.3894	28.06575	0.04495	0.19956	-0.029095	0.059119	2.9255	1.098691	0.84017	2.3985	0.592593	0.65866	-1.225	-1.26169	79.6247
Z013E0049	0.04484	49.9912	28.5709	0.063582	0.24893	-0.025476	0.067115	2.1984	1.034041	0.80283	2.60666	0.563293	0.70436	-0.8426	-0.89725	80.4248
Z013E0050	0.04534	54.2888	28.684	0.059298	0.265694	-0.05067	0.04371	1.7094	1.040371	0.80813	2.47777	0.882993	0.80213	0.1883	-0.18564	80.2762
Z013E0051	0.05404	66.8696	29.2255	0.11227	0.2853	-0.0013	0.08688	1.88279	1.026891	0.68574	2.49961	0.740103	0.8667	2.4161	-0.5935	77.015
Z013E0052	0.04942	58.9802	27.639	0.09303	0.25821	-0.0433	0.04339	1.86088	1.092861	0.77858	2.9646	0.729233	0.71775	0.8193	-0.7061	77.9357
Z013E0053	0.052361	63.5489	26.8419	0.11598	0.33983	-0.04255	0.04836	1.5679	0.900301	1.00614	3.1121	0.489393	0.63358	1.2423	-0.28477	80.427
Z013E0054	0.04923	56.063	32.3826	0.10694	0.32148	0.01014	0.09973	1.9061	1.091731	0.8352	2.9596	0.694013	0.67556	2.7126	0.37316	74.2868
Z013E0055	0.047411	56.0092	27.99128	0.06846	0.26311	-0.03429	0.0538	1.701	1.181001	0.68554	2.2493	1.210293	0.8673	-1.2035	-1.09573	77.4045
Z013E0056	0.047139	56.2786	27.84	0.12267	0.37706	0.05713	0.14393	2.0863	1.091151	0.7589	2.51114	0.754133	0.6371	1.9864	0.07732	75.3871
