ID	B	Ca	CHL	Cu	DW	Fe	FW	K	LA	Mg	Mn	N	P	S	Zn
CM105	NA	NA	1.36206567679065	NA	1.15599991694368	1.28424837565185	1.10150582576224	1.02191855526673	1.08212529325054	1.28668652443002	NA	1.29641414869525	1.03224373624031	NA	1.31122769484227
CM174	1.2316267377686	1.04229724377091	1.27729638009987	1.35845605669827	1.17214311675334	1.37397350820339	1.17140095622077	1.09999317586729	1.11419629601457	1.27716170812833	1.65446883665177	1.34632500423461	1.08480037497934	1.06466225140568	NA
CM37	1.21237509278962	1.14065278171238	1.31144428193485	1.68972206633665	1.06105275822686	1.30126162209105	1.09162112164768	1.05889475221195	0.964949149607219	1.13933944209725	NA	1.40365402318203	1.14957245147997	1.08232547173563	1.23502935343173
CM7	1.33617787326923	1.0800470502069	1.28691706916608	1.41686462379397	0.875884482531805	1.26352499846641	0.859808162577043	1.0759242080264	0.855719257376648	1.134599302366	NA	1.42504173533906	1.07349498217615	1.08741520259042	1.26035415378985
CML10	1.37347219687357	NA	1.54384118215593	1.79486349750515	1.20463790988504	1.39577027172515	1.13282967452824	0.976684487934757	1.05501818555906	1.44989867835569	1.73169566352147	1.56208545514435	1.02245332739552	1.43048490644874	1.60771013656836
CML103	1.21196290122995	NA	1.64076235878303	2.03013475675614	1.16175282507103	1.63380397018016	1.27525643726352	1.18960486762342	1.11607135114612	1.55478734419843	1.58215491863881	1.5578977653939	0.975031927707718	1.35871542134957	1.32695823566911
CML108	1.00789909722685	1.46366451607259	1.58242265861435	1.90946373296961	NA	1.60210942162963	NA	0.941125556872648	1.15982311854483	1.61145299732176	1.41256288806177	1.44268039099734	1.07095019101272	1.33309839688934	1.34955357338214
CML11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CML14	1.09101351885562	1.62910885821743	1.75607479997411	2.16925064716612	1.35423503728989	1.53420365524233	1.16217767209613	0.860358877665257	1.11027368004495	1.49225837375316	2.75651457672053	1.63424885080691	1.11704037915292	1.44630537882079	1.69157672824465
CML154Q	0.973254617900757	1.13640419608312	1.57788137140857	2.37085099528367	1.34722714003095	1.35614646369826	1.29575864396083	0.816168984872251	1.24144568095215	1.22495626549702	1.01096933416295	1.49040414830304	1.05616840752968	1.2805656975003	1.20455395631807
CML157Q	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CML158Q	1.27429363951538	1.36407621962056	1.27192697108468	1.38261699883979	0.992560629893282	1.32716384653803	0.993028511110177	0.939846931278719	1.08315962678131	1.79088678678868	1.08351146594751	1.37701063617745	0.819522148598265	1.11603995609685	1.30806965679981
