SampleID	gid	ReadCount	nRC	rCPM	rFPKM	CPM	FPKM	Tissue	Genotype
rn18a_1356	Zm00001d014451	0	0	0	0	0	0	L3Tip	CML331
rn18a_1356	Zm00001d014456	63	92.0708386477134	41.6031613119656	13.9514290113902	46.2773400126001	15.5188933643864	L3Tip	CML331
rn18a_1356	Zm00001d014458	57	83.3021873479312	37.6409554727308	11.2663739816614	41.8699742971144	12.5321683020396	L3Tip	CML331
rn18a_1357	Zm00001d014451	7	6.92182514243872	3.83418990961719	1.11200403411171	3.45058960367071	1.00075104514812	GShoot	CML333
rn18a_1357	Zm00001d014456	8	7.91065730564425	4.38193132527679	1.4694605383222	3.94353097562366	1.32244499517896	GShoot	CML333
rn18a_1357	Zm00001d014458	31	30.6537970593715	16.9799838854476	5.08230586215132	15.2811825305417	4.57383493880326	GShoot	CML333
rn18a_1358	Zm00001d014451	2	1.95558894426321	1.00859982641997	0.292517351049875	0.970172308694735	0.281372479319819	LMAN	CML333
rn18a_1358	Zm00001d014456	50	48.8897236065802	25.2149956604992	8.45573295120699	24.2543077173684	8.1335706631014	LMAN	CML333
rn18a_1358	Zm00001d014458	72	70.4012019934755	36.3095937511189	10.8678819967432	34.9262031130105	10.4538171544479	LMAN	CML333
rn18a_1359	Zm00001d014451	0	0	0	0	0	0	LMAN	CI90C
rn18a_1359	Zm00001d014456	54	55.5983112151982	32.3218586744686	10.8389868123637	27.2330815931393	9.13248879716276	LMAN	CI90C
rn18a_1359	Zm00001d014458	91	93.6934503811674	54.4683173958638	16.3029983226171	45.8927856476978	13.7362423369344	LMAN	CI90C
rn18a_136	Zm00001d014451	8	8.24721955339401	4.26120550569057	1.23584846452743	4.09706600168461	1.18824420002454	GShoot	CM37
rn18a_136	Zm00001d014456	4	4.12360977669701	2.13060275284529	0.714487844683195	2.04853300084231	0.686966130396481	GShoot	CM37
rn18a_136	Zm00001d014458	37	38.1433904344473	19.7080754638189	5.89885527202002	18.9489302577913	5.67163431840507	GShoot	CM37
rn18a_1360	Zm00001d014451	5	2.57686894317157	1.31104934029308	0.380234727463191	1.2936307002659	0.375182917710527	GRoot	IDS28
rn18a_1360	Zm00001d014456	3	1.54612136590294	0.78662960417585	0.263792623801425	0.776178420159539	0.26028786725672	GRoot	IDS28
rn18a_1360	Zm00001d014458	15	7.73060682951471	3.93314802087925	1.17723676171184	3.88089210079769	1.16159595953238	GRoot	IDS28
rn18a_1361	Zm00001d014451	0	0	0	0	0	0	LMAD	CI91B
rn18a_1361	Zm00001d014456	33	64.0404980345224	29.4522155652282	9.87666517948631	28.8372779778922	9.67044868473917	LMAD	CI91B
rn18a_1361	Zm00001d014458	75	145.546586442096	66.9368535573368	20.0349756232675	65.5392681315732	19.6166621166038	LMAD	CI91B
rn18a_1362	Zm00001d014451	1	0.745929515817274	0.394157016389049	0.114314679927218	0.382941208920111	0.111061835533675	LMAN	CI91B
rn18a_1362	Zm00001d014456	29	21.631955958701	11.4305534752824	3.83318359332073	11.1052950586832	3.72410967762683	LMAN	CI91B
rn18a_1362	Zm00001d014458	83	61.9121498128338	32.715032360291	9.79198813537595	31.7841203403692	9.51335538472589	LMAN	CI91B
rn18a_1363	Zm00001d014451	2	1.86625700134535	1.09986136247526	0.318985313942941	0.936044343062259	0.271474577454252	LMAN	GA209
rn18a_1363	Zm00001d014456	38	35.4588830255616	20.8973658870299	7.00783564286718	17.7848425181829	5.96406523077898	LMAN	GA209
rn18a_1363	Zm00001d014458	80	74.6502800538139	43.9944544990104	13.1680498350824	37.4417737224904	11.2067565766209	LMAN	GA209
rn18a_1364	Zm00001d014451	1	1.34515307544219	0.602585695218181	0.17476383271989	0.657162845862126	0.190592472697832	LMAD	GA209
rn18a_1364	Zm00001d014456	96	129.13469524245	57.8482267409454	19.3991370693982	63.0876332027641	21.15614795532	LMAD	GA209
